,collision,ENSG_ID,gene_symbol,source
75,ADRA1,"ENSG00000171873, ENSG00000170214","ADRA1D, ADRA1B",NCBI
76,AE2,"ENSG00000164889, ENSG00000142794","SLC4A2, NBPF3",NCBI
77,AF,"ENSG00000187961, ENSG00000159352","KLHL17, PSMD4",NCBI
78,AF-1,"ENSG00000159352, ENSG00000159128","PSMD4, IFNGR2",NCBI
79,AG1,"ENSG00000117862, ENSG00000271425","TXNDC12, NBPF10",NCBI
80,AG2,"ENSG00000187479, ENSG00000106541","C11ORF96, AGR2",NCBI
81,AG3,"ENSG00000266338, ENSG00000116815, ENSG00000173467","NBPF15, CD58, AGR3",NCBI
82,AGC1,"ENSG00000157766, ENSG00000115840","ACAN, SLC25A12",NCBI
83,AGM1,"ENSG00000211899, ENSG00000013375","IGHM, PGM3",NCBI
84,AGP1,"ENSG00000154188, ENSG00000229314","ANGPT1, ORM1",NCBI
85,AGPAT10,"ENSG00000138678, ENSG00000153395","GPAT3, LPCAT1",NCBI
86,AGPAT8,"ENSG00000138678, ENSG00000172954","GPAT3, LCLAT1",NCBI
87,AGPAT9,"ENSG00000153395, ENSG00000138678","LPCAT1, GPAT3",NCBI
88,AGS1,"ENSG00000213689, ENSG00000101384, ENSG00000108551","TREX1, JAG1, RASD1",NCBI
89,AGS2,"ENSG00000136104, ENSG00000134250","RNASEH2B, NOTCH2",NCBI
90,AGS3,"ENSG00000172922, ENSG00000160360","RNASEH2C, GPSM1",NCBI
91,AGS4,"ENSG00000104889, ENSG00000213654","RNASEH2A, GPSM3",NCBI
92,AGS8,"ENSG00000164694, ENSG00000155858","FNDC1, LSM11",NCBI
93,AGT1,"ENSG00000172482, ENSG00000164893","AGXT, SLC7A13",NCBI
94,AH,"ENSG00000163898, nan","LIPH, HCA1",NCBI
95,AHA1,"ENSG00000293434, ENSG00000100591","AHSA2P, AHSA1",NCBI
96,AHH,"ENSG00000063438, ENSG00000140465","AHRR, CYP1A1",NCBI
97,AIB1,"nan, ENSG00000124151","ANIB1, NCOA3",NCBI
98,AIB3,"nan, ENSG00000198646","ANIB3, NCOA6",NCBI
99,AIBP,"ENSG00000127423, ENSG00000163382","AUNIP, NAXE",NCBI
100,AIM,"ENSG00000130816, ENSG00000073754, ENSG00000110848","DNMT1, CD5L, CD69",NCBI
101,AIM1,"ENSG00000112297, ENSG00000178999, ENSG00000164175","CRYBG1, AURKB, SLC45A2",NCBI
102,AIP-1,"ENSG00000136848, ENSG00000138443, ENSG00000187391","DAB2IP, ABI2, MAGI2",NCBI
103,AIP1,"ENSG00000170540, ENSG00000071127, ENSG00000138443, ENSG00000023445, ENSG00000187391, ENSG00000136848, ENSG00000123165, ENSG00000170248","ARL6IP1, WDR1, ABI2, BIRC3, MAGI2, DAB2IP, ACTRT1, PDCD6IP",NCBI
104,AIRP,"ENSG00000250741, ENSG00000185013","NT5C1B-RDH14, NT5C1B",NCBI
105,AIS,"ENSG00000169083, nan, ENSG00000073282","AR, IS1, TP63",NCBI
106,AIS1,"nan, ENSG00000187140","IS1, FOXD3",NCBI
107,AITD3,"ENSG00000042832, ENSG00000066827","TG, ZFAT",NCBI
108,AK3L1,"ENSG00000147853, ENSG00000162433","AK3, AK4",NCBI
109,AK3L2,"ENSG00000162433, nan","AK4, AK4P3",NCBI
110,AK6,"ENSG00000154027, ENSG00000147853","AK5, AK3",NCBI
111,AL4,"ENSG00000236362, nan, nan, ENSG00000215269","GAGE12F, GAGE7, GAGE12I, GAGE12G",NCBI
112,ALC1,"ENSG00000131778, ENSG00000198336","CHD1L, MYL4",NCBI
113,ALDC,"ENSG00000165092, ENSG00000109107","ALDH1A1, ALDOC",NCBI
114,ALDH4,"ENSG00000006534, ENSG00000159423, ENSG00000143149","ALDH3B1, ALDH4A1, ALDH9A1",NCBI
115,ALDH7,"ENSG00000143149, ENSG00000006534","ALDH9A1, ALDH3B1",NCBI
116,ALDR1,"ENSG00000117448, ENSG00000085662","AKR1A1, AKR1B1",NCBI
117,ALDRP,"ENSG00000173208, nan","ABCD2, AKR1B1P2",NCBI
118,ALF,"ENSG00000068781, ENSG00000242441, ENSG00000079557","STON1-GTF2A1L, GTF2A1L, AFM",NCBI
119,ALIEN,"ENSG00000259974, ENSG00000166200","LINC00261, COPS2",NCBI
120,ALK1,"ENSG00000139567, ENSG00000124107, ENSG00000171094","ACVRL1, SLPI, ALK",NCBI
121,ALP,"ENSG00000124107, ENSG00000154553, ENSG00000213927, nan, ENSG00000162174, ENSG00000163283, ENSG00000107518, ENSG00000135372","SLPI, PDLIM3, CCL27, ATHS, ASRGL1, ALPP, ATRNL1, NAT10",NCBI
122,ALP1,"ENSG00000162174, ENSG00000154438","ASRGL1, ASZ1",NCBI
123,ALR,"ENSG00000167548, ENSG00000127554, ENSG00000117448","KMT2D, GFER, AKR1A1",NCBI
124,ALS,"ENSG00000099769, ENSG00000142168","IGFALS, SOD1",NCBI
125,ALS19,"ENSG00000178568, ENSG00000135486","ERBB4, HNRNPA1",NCBI
126,ALS2CR3,"ENSG00000115993, ENSG00000224299, ENSG00000234731, ENSG00000227736, ENSG00000224590, ENSG00000234842","TRAK2, MTATP6P16, MTND4LP16, MTCO3P16, MTND3P16, MTCO2P16",NCBI
127,ALS6,"ENSG00000089280, nan","FUS, ALS3",NCBI
128,ALT1,"ENSG00000167701, ENSG00000231607","GPT, DLEU2",NCBI
129,ALTMIEF1,"ENSG00000285025, ENSG00000100335","MIURF, MIEF1",NCBI
130,ALURBP,"ENSG00000143742, ENSG00000140319","SRP9, SRP14",NCBI
131,ALX,"ENSG00000196684, ENSG00000171049","HSH2D, FPR2",NCBI
132,AM,"ENSG00000171681, ENSG00000148926","ATF7IP, ADM",NCBI
133,AMAC1,"ENSG00000164729, ENSG00000275385","SLC35G3, CCL18",NCBI
134,AMAP1,"ENSG00000136449, ENSG00000153317","MYCBPAP, ASAP1",NCBI
135,AMC1,"ENSG00000153902, nan","LGI4, AMCN",NCBI
136,AMD,"nan, ENSG00000123505","AMD1P2, AMD1",NCBI
137,AMDD,"ENSG00000138696, ENSG00000165591","BMPR1B, FAAH2",NCBI
138,AMGL,"ENSG00000125363, ENSG00000099721","AMELX, AMELY",NCBI
139,AML1-EVI-1,"ENSG00000159216, ENSG00000085276","RUNX1, MECOM",NCBI
140,AMP,"ENSG00000140259, ENSG00000198931","MFAP1, APRT",NCBI
141,AMPK,"ENSG00000132356, ENSG00000111725, ENSG00000162409","PRKAA1, PRKAB1, PRKAA2",NCBI
142,AMY,"ENSG00000188517, ENSG00000130558","COL25A1, OLFM1",NCBI
143,AMY1,"ENSG00000237763, ENSG00000187733, ENSG00000174876","AMY1A, AMY1C, AMY1B",NCBI
144,AMY2,"ENSG00000243480, ENSG00000240038","AMY2A, AMY2B",NCBI
145,AN,"ENSG00000109911, ENSG00000007372, ENSG00000139734, ENSG00000150636","ELP4, PAX6, DIAPH3, CCDC102B",NCBI
146,AN2,"ENSG00000109911, ENSG00000007372","ELP4, PAX6",NCBI
147,ANCO1,"ENSG00000101745, ENSG00000167522","ANKRD12, ANKRD11",NCBI
148,ANCR,"ENSG00000114062, ENSG00000226950","UBE3A, DANCR",NCBI
149,ANF,"ENSG00000163666, ENSG00000175206","HESX1, NPPA",NCBI
150,ANG1,"ENSG00000149809, ENSG00000154188","TM7SF2, ANGPT1",NCBI
151,ANG2,"ENSG00000149823, ENSG00000091879","VPS51, ANGPT2",NCBI
152,ANG3,"ENSG00000101280, ENSG00000149823, ENSG00000116194","ANGPT4, VPS51, ANGPTL1",NCBI
153,ANK,"ENSG00000029534, ENSG00000154122","ANK1, ANKH",NCBI
154,ANT,"ENSG00000292334, ENSG00000151729","SLC25A6, SLC25A4",NCBI
155,ANT1,"ENSG00000101161, ENSG00000151729","PRPF6, SLC25A4",NCBI
156,AOH1,"ENSG00000138356, ENSG00000290905","AOX1, AOX3P",NCBI
157,AOMS4,"ENSG00000142615, ENSG00000079435","CELA2A, LIPE",NCBI
158,AOS1,"ENSG00000142230, ENSG00000031081","SAE1, ARHGAP31",NCBI
159,AP-1,"ENSG00000177606, ENSG00000130522, ENSG00000125740, ENSG00000171223, ENSG00000170345","JUN, JUND, FOSB, JUNB, FOS",NCBI
160,AP2,"ENSG00000122034, ENSG00000170323","GTF3A, FABP4",NCBI
161,AP47B,"ENSG00000100478, ENSG00000070718","AP4S1, AP3M2",NCBI
162,APC1,"ENSG00000153107, ENSG00000085491","ANAPC1, SLC25A24",NCBI
163,APC2,"ENSG00000125648, ENSG00000176248","SLC25A23, ANAPC2",NCBI
164,APC4,"ENSG00000053900, ENSG00000181240","ANAPC4, SLC25A41",NCBI
165,APC7,"ENSG00000196510, ENSG00000168077","ANAPC7, SCARA3",NCBI
166,APE,"ENSG00000115355, ENSG00000100823","CCDC88A, APEX1",NCBI
167,APG1,"ENSG00000112414, ENSG00000164070","ADGRG6, HSPA4L",NCBI
168,APITD1,"ENSG00000251503, ENSG00000175279","CENPS-CORT, CENPS",NCBI
169,APM-1,"ENSG00000181092, ENSG00000184828","ADIPOQ, ZBTB7C",NCBI
170,APM1,"ENSG00000184828, ENSG00000181092","ZBTB7C, ADIPOQ",NCBI
171,APO-CIV,"nan, ENSG00000267467","APOC4-APOC2, APOC4",NCBI
172,APOBEC1L,"ENSG00000179750, ENSG00000244509","APOBEC3B, APOBEC3C",NCBI
173,APOC-IV,"ENSG00000267467, nan","APOC4, APOC4-APOC2",NCBI
174,APP1,"ENSG00000090621, ENSG00000108039","PABPC4, XPNPEP1",NCBI
175,APR,"ENSG00000123384, ENSG00000141682","LRP1, PMAIP1",NCBI
176,APRIL,"ENSG00000136938, ENSG00000161955","ANP32B, TNFSF13",NCBI
177,APRO5,"ENSG00000141232, ENSG00000183864","TOB1, TOB2",NCBI
178,APS,"ENSG00000142515, ENSG00000160999","KLK3, SH2B2",NCBI
179,APS1,"ENSG00000196368, ENSG00000160224","NUDT11, AIRE",NCBI
180,APT1,"ENSG00000120992, ENSG00000168394, ENSG00000026103","LYPLA1, TAP1, FAS",NCBI
181,APT2,"ENSG00000011009, ENSG00000204267","LYPLA2, TAP2",NCBI
182,APY,"ENSG00000149534, ENSG00000136147","MS4A2, PHF11",NCBI
183,AR,"ENSG00000109321, ENSG00000085662","AREG, AKR1B1",NCBI
184,ARA,"ENSG00000077264, ENSG00000091262, ENSG00000054598","PAK3, ABCC6, FOXC1",NCBI
185,ARAP,"ENSG00000187889, ENSG00000110492","FYB2, MDK",NCBI
186,ARAT,"ENSG00000147160, ENSG00000185000, ENSG00000062282","AWAT2, DGAT1, DGAT2",NCBI
187,ARB1,"ENSG00000137486, ENSG00000100211","ARRB1, CBY1",NCBI
188,ARB2,"ENSG00000141480, ENSG00000169252","ARRB2, ADRB2",NCBI
189,ARC20,"ENSG00000250151, ENSG00000241553","ARPC4-TTLL3, ARPC4",NCBI
190,ARC34,"ENSG00000155868, ENSG00000163466","MED7, ARPC2",NCBI
191,ARCC2,"nan, ENSG00000142627","CTPP, EPHA2",NCBI
192,ARD1,"ENSG00000117751, ENSG00000102030, ENSG00000113595","PPP1R8, NAA10, TRIM23",NCBI
193,ARG,"ENSG00000143322, ENSG00000142599","ABL2, RERE",NCBI
194,ARGRS,"ENSG00000113643, ENSG00000146282","RARS1, RARS2",NCBI
195,ARH1,"ENSG00000144843, ENSG00000157978","ADPRH, LDLRAP1",NCBI
196,ARH2,"ENSG00000157978, ENSG00000153531","LDLRAP1, ADPRHL1",NCBI
197,ARIA,"ENSG00000157168, ENSG00000249751","NRG1, ECSCR",NCBI
198,ARIP1,"ENSG00000123165, ENSG00000187391","ACTRT1, MAGI2",NCBI
199,ARK,"ENSG00000167601, ENSG00000157450","AXL, RNF111",NCBI
200,ARM,"ENSG00000135931, ENSG00000117448","ARMC9, AKR1A1",NCBI
201,ARM1,"ENSG00000130706, ENSG00000167749","ADRM1, KLK4",NCBI
202,ARMD14,"ENSG00000243649, ENSG00000166278","CFB, C2",NCBI
203,ARP,"ENSG00000142599, ENSG00000101246, ENSG00000124812, ENSG00000145050","RERE, ARFRP1, CRISP1, MANF",NCBI
204,ARP1,"ENSG00000124701, ENSG00000164093, ENSG00000116194, ENSG00000185551, ENSG00000138107, ENSG00000101246","APOBEC2, PITX2, ANGPTL1, NR2F2, ACTR1A, ARFRP1",NCBI
205,ARP10,"ENSG00000131966, ENSG00000100298","ACTR10, APOBEC3H",NCBI
206,ARP11,"ENSG00000106526, ENSG00000131966, ENSG00000133627","ACTR3C, ACTR10, ACTR3B",NCBI
207,ARP2,"ENSG00000138071, ENSG00000136859, ENSG00000111732","ACTR2, ANGPTL2, AICDA",NCBI
208,ARP3,"ENSG00000115091, ENSG00000128383","ACTR3, APOBEC3A",NCBI
209,ARP4,"ENSG00000136518, ENSG00000179750, ENSG00000167772","ACTL6A, APOBEC3B, ANGPTL4",NCBI
210,ARP5,"ENSG00000244509, ENSG00000101442, ENSG00000130812","APOBEC3C, ACTR5, ANGPTL6",NCBI
211,ARP6,"ENSG00000075089, ENSG00000243811","ACTR6, APOBEC3D",NCBI
212,ARP8,"ENSG00000128394, ENSG00000113812","APOBEC3F, ACTR8",NCBI
213,ARS,"ENSG00000110063, ENSG00000126233, nan","DCPS, SLURP1, RIEG2",NCBI
214,ARSC,"ENSG00000101846, nan","STS, ARSC2",NCBI
215,ART,"ENSG00000159723, ENSG00000117407","AGRP, ARTN",NCBI
216,ARTC1,"ENSG00000114439, ENSG00000129744","BBX, ART1",NCBI
217,ARTS,"ENSG00000147224, ENSG00000108387","PRPS1, SEPTIN4",NCBI
218,ARVD2,"ENSG00000198626, nan","RYR2, ARVD3",NCBI
219,AS,"ENSG00000114062, nan, ENSG00000234745","UBE3A, LINC02605, HLA-B",NCBI
220,ASAP,"ENSG00000164114, ENSG00000153363","MAP9, LINC00467",NCBI
221,ASB,"ENSG00000113273, ENSG00000158578","ARSB, ALAS2",NCBI
222,ASB-3,"ENSG00000115239, ENSG00000115239","GPR75-ASB3, ASB3",NCBI
223,ASC,"ENSG00000103490, ENSG00000101846","PYCARD, STS",NCBI
224,ASC-1,"ENSG00000103671, ENSG00000100316, ENSG00000130876","TRIP4, RPL3, SLC7A10",NCBI
225,ASC1,"ENSG00000130876, ENSG00000103671","SLC7A10, TRIP4",NCBI
226,ASC2,"ENSG00000169900, ENSG00000198646","PYDC1, NCOA6",NCBI
227,ASE1,"ENSG00000198901, ENSG00000117877","PRC1, POLR1G",NCBI
228,ASF,"ENSG00000062096, ENSG00000159352, ENSG00000136450","ARSF, PSMD4, SRSF1",NCBI
229,ASH1,"ENSG00000116539, ENSG00000139352","ASH1L, ASCL1",NCBI
230,ASH2,"ENSG00000183734, ENSG00000129691","ASCL2, ASH2L",NCBI
231,ASM,"ENSG00000166311, ENSG00000130600","SMPD1, H19",NCBI
232,ASNRS,"ENSG00000134440, ENSG00000137513","NARS1, NARS2",NCBI
233,ASP,"ENSG00000153802, ENSG00000148584, ENSG00000125730, ENSG00000145491, ENSG00000101440, ENSG00000066279, ENSG00000108381, ENSG00000057663","TMPRSS11D, A1CF, C3, ROPN1L, ASIP, ASPM, ASPA, ATG5",NCBI
234,ASP1,"ENSG00000196368, ENSG00000182240","NUDT11, BACE2",NCBI
235,ASPRS,"ENSG00000117593, ENSG00000115866","DARS2, DARS1",NCBI
236,ASPS,"ENSG00000141551, ENSG00000169696","CSNK1D, ASPSCR1",NCBI
237,AST,"ENSG00000119899, ENSG00000120053","SLC17A5, GOT1",NCBI
238,AT,"ENSG00000171766, ENSG00000010671","GATM, BTK",NCBI
239,AT1,"nan, ENSG00000144891, ENSG00000169359, ENSG00000149311","PGR-AS1, AGTR1, SLC33A1, ATM",NCBI
240,AT2,"ENSG00000180772, nan","AGTR2, PGR-AS1",NCBI
241,AT3,"ENSG00000066427, ENSG00000117601, nan","ATXN3, SERPINC1, PGR-AS1",NCBI
242,AT744.2,"ENSG00000276070, nan","CCL4L2, CCL4L1",NCBI
243,ATD,"ENSG00000149311, ENSG00000129480","ATM, DTD2",NCBI
244,ATDC,"ENSG00000149311, ENSG00000137699","ATM, TRIM29",NCBI
245,ATF,"ENSG00000168621, ENSG00000122861","GDNF, PLAU",NCBI
246,ATG8,"ENSG00000139112, ENSG00000034713","GABARAPL1, GABARAPL2",NCBI
247,ATP-PFK,"ENSG00000067057, ENSG00000152556, ENSG00000141959","PFKP, PFKM, PFKL",NCBI
248,ATP1A1,"ENSG00000132681, ENSG00000105409","ATP1A4, ATP1A3",NCBI
249,ATP5A,"ENSG00000152234, ENSG00000154723, ENSG00000135390, ENSG00000159199","ATP5F1A, ATP5PF, ATP5MC2, ATP5MC1",NCBI
250,ATP5A1P9,"ENSG00000234720, ENSG00000241571","ATP5F1AP8, ATP5F1AP7",NCBI
251,ATP6C,"ENSG00000155097, ENSG00000185883","ATP6V1C1, ATP6V0C",NCBI
252,ATP6D,"ENSG00000155097, ENSG00000159720","ATP6V1C1, ATP6V0D1",NCBI
253,ATP6G,"ENSG00000213760, ENSG00000136888","ATP6V1G2, ATP6V1G1",NCBI
254,ATPM,"ENSG00000152234, ENSG00000154723","ATP5F1A, ATP5PF",NCBI
255,ATR,"ENSG00000139428, ENSG00000169604, ENSG00000258597","MMAB, ANTXR1, SERPINA2",NCBI
256,ATR1,"ENSG00000144891, nan, ENSG00000138079","AGTR1, HBHR, SLC3A1",NCBI
257,ATS,"ENSG00000188153, ENSG00000197496","COL4A5, SLC2A10",NCBI
258,ATS2,"ENSG00000169031, ENSG00000081052","COL4A3, COL4A4",NCBI
259,ATTP,"ENSG00000137561, ENSG00000151116","TTPA, UEVLD",NCBI
260,ATX,"ENSG00000197587, ENSG00000157106, ENSG00000136960","DMBX1, SMG1, ENPP2",NCBI
261,ATX1,"ENSG00000177556, ENSG00000124788","ATOX1, ATXN1",NCBI
262,AU,"ENSG00000187244, ENSG00000168453","BCAM, HR",NCBI
263,AUGA,"ENSG00000189292, ENSG00000196711","ALKAL2, ALKAL1",NCBI
264,AUTL1,"ENSG00000125703, ENSG00000168397","ATG4C, ATG4B",NCBI
265,AVP,"ENSG00000142166, ENSG00000162711","IFNAR1, NLRP3",NCBI
266,AZ1,"ENSG00000141577, ENSG00000104904","CEP131, OAZ1",NCBI
267,AZ2,"ENSG00000163512, ENSG00000180304","AZI2, OAZ2",NCBI
268,AZI,"ENSG00000104904, ENSG00000155096","OAZ1, AZIN1",NCBI
269,AZI1,"ENSG00000155096, ENSG00000141577","AZIN1, CEP131",NCBI
270,B1,"nan, ENSG00000156738, ENSG00000122507, ENSG00000227234","IGKV7-3, MS4A1, BBS9, SPANXB1",NCBI
271,B12,"ENSG00000109079, ENSG00000119013","TNFAIP1, NDUFB3",NCBI
272,B17,"ENSG00000159147, ENSG00000165264","DONSON, NDUFB6",NCBI
273,B18,"ENSG00000166979, ENSG00000099795","EVA1C, NDUFB7",NCBI
274,B2,"ENSG00000211599, ENSG00000225190","IGKV5-2, PLEKHM1",NCBI
275,B29,"ENSG00000007312, ENSG00000134042, ENSG00000075790","CD79B, MRO, BCAP29",NCBI
276,B37,"ENSG00000205929, ENSG00000111676","EPCIP, ATN1",NCBI
277,B3GNT1,"ENSG00000170340, ENSG00000174684","B3GNT2, B4GAT1",NCBI
278,B4,"ENSG00000177455, ENSG00000186818","CD19, LILRB4",NCBI
279,B5,"ENSG00000149100, ENSG00000179600","EIF3M, GPHB5",NCBI
280,B61,"ENSG00000169242, ENSG00000109079","EFNA1, TNFAIP1",NCBI
281,B7-H5,"ENSG00000114455, ENSG00000107738","HHLA2, VSIR",NCBI
282,B9,"ENSG00000108641, ENSG00000170906","B9D1, NDUFA3",NCBI
283,BA548K23.1,"nan, ENSG00000203942","AGAP13P, C10ORF62",NCBI
284,BAF190,"ENSG00000080503, ENSG00000127616","SMARCA2, SMARCA4",NCBI
285,BAL,"ENSG00000083807, ENSG00000138496, ENSG00000170835","SLC27A5, PARP9, CEL",NCBI
286,BAM,"ENSG00000153094, ENSG00000108055","BCL2L11, SMC3",NCBI
287,BAP,"ENSG00000120725, ENSG00000215021","SIL1, PHB2",NCBI
288,BAP-1,"ENSG00000121481, ENSG00000151276","RNF2, MAGI1",NCBI
289,BAP1,"ENSG00000121481, ENSG00000151276","RNF2, MAGI1",NCBI
290,BAP18,"ENSG00000258315, ENSG00000161939","C17ORF49, RNASEK-C17ORF49",NCBI
291,BAR,"ENSG00000012504, ENSG00000103429, ENSG00000169252","NR1H4, BFAR, ADRB2",NCBI
292,BART,"ENSG00000102931, ENSG00000162399","ARL2BP, BSND",NCBI
293,BAT1,"ENSG00000198563, ENSG00000123136, ENSG00000021488","DDX39B, DDX39A, SLC7A9",NCBI
294,BB1,"ENSG00000121594, ENSG00000135577, ENSG00000125505","CD80, NMBR, MBOAT7",NCBI
295,BB2,"ENSG00000126010, ENSG00000090339","GRPR, ICAM1",NCBI
