,ENSG_ID,gene_symbol,HGNC_ID,alias_symbol
79,ENSG00000005100,DHX33,16718,"DDX33,DKFZP762F2011,FLJ21972"
80,ENSG00000005102,MEOX1,7013,MOX1
81,ENSG00000005108,THSD7A,22207,KIAA0960
82,ENSG00000005156,LIG3,6600,"LIG2,LIG3ALPHA"
83,ENSG00000005175,RPAP3,26151,"FLJ21908,HSPAGH,SPAG,TAH1"
84,ENSG00000005187,ACSM3,10522,"SA,SAH"
85,ENSG00000005189,REXO5,24661,NEF-SP
86,ENSG00000005194,CIAPIN1,28050,CIAE2
87,ENSG00000005206,SPPL2B,30627,"IMP4,KIAA1532,PSL1"
88,ENSG00000005238,ATOSB,25666,"BA182N22.6,FAM214B,FLJ11560,KIAA1539"
89,ENSG00000005243,COPZ2,19356,MGC23008
90,ENSG00000005249,PRKAR2B,9392,PRKAR2
91,ENSG00000005302,MSL3,7370,MSL3L1
92,ENSG00000005339,CREBBP,2348,"CBP,KAT3A,RSTS,RTS"
93,ENSG00000005379,TSPOAP1,16831,"BZRAP1,KIAA0612,PRAX-1,RIM-BP1,RIMBP1"
94,ENSG00000005381,MPO,7218,
95,ENSG00000005421,PON1,9204,"ESA,PON"
96,ENSG00000005436,GCFC2,1317,"C2ORF3,DNABF,GCF,TCF9"
97,ENSG00000005448,WDR54,25770,FLJ12953
98,ENSG00000005469,CROT,2366,COT
99,ENSG00000005471,ABCB4,45,"GBD1,MDR2,MDR3,PFIC-3,PGY3"
100,ENSG00000005483,KMT2E,18541,"HDCMC04P,MLL5,SETD5B"
101,ENSG00000005486,RHBDD2,23082,"NPD007,RHBDL7"
102,ENSG00000005513,SOX8,11203,
103,ENSG00000005700,IBTK,17853,"BTBD26,BTKI,DKFZP564B116"
104,ENSG00000005801,ZNF195,12986,
105,ENSG00000005810,MYCBP2,23386,"FLJ10106,KIAA0916,PAM,PHR1"
106,ENSG00000005812,FBXL3,13599,"FBL3,FBL3A,FBXL3A"
107,ENSG00000005844,ITGAL,6148,"CD11A,LFA-1,LFA1A"
108,ENSG00000005882,PDK2,8810,PDHK2
109,ENSG00000005884,ITGA3,6139,"CD49C,GAP-B3,MSK18,VCA-2,VLA3A"
110,ENSG00000005889,ZFX,12869,ZNF926
111,ENSG00000005893,LAMP2,6501,CD107B
112,ENSG00000005961,ITGA2B,6138,"CD41,CD41B,GP2B,GPIIB,PPP1R93"
113,ENSG00000005981,ASB4,16009,ASB-4
114,ENSG00000006007,GDE1,29644,MIR16
115,ENSG00000006015,REX1BD,26098,"C19ORF60,FLJ20850,FLJ30108,FLJ34606,FLJ37391"
116,ENSG00000006016,CRLF1,2364,"CISS,CISS1,CLF,CLF-1"
117,ENSG00000006025,OSBPL7,16387,"MGC71150,ORP7"
118,ENSG00000006042,TMEM98,24529,DKFZP564K1964
119,ENSG00000006047,YBX2,17948,"CONTRIN,CSDA3,MSY2"
120,ENSG00000006059,KRT33A,6450,"HA-3I,KRT1-3,KRTHA3A"
121,ENSG00000006062,MAP3K14,6853,"FTDCR1B,HS,HSNIK,NIK"
122,ENSG00000006071,ABCC8,59,"ABC36,HHF1,HI,HRINS,MRP8,PHHI,SUR,SUR1,TNDM2"
123,ENSG00000006116,CACNG3,1407,
124,ENSG00000006118,TMEM132A,31092,"FLJ20539,GBP,HSPA5BP1"
125,ENSG00000006125,AP2B1,563,"ADTB2,CLAPB1"
126,ENSG00000006128,TAC1,11517,"NKNA,NPK,TAC2"
127,ENSG00000006194,ZNF263,13056,"FPM315,ZKSCAN12,ZSCAN44"
128,ENSG00000006210,CX3CL1,10647,"ABCD-3,C3XKINE,CXC3,CXC3C,NTN,SCYD1"
129,ENSG00000006282,SPATA20,26125,"FLJ21347,SSP411,TISP78"
130,ENSG00000006283,CACNA1G,1394,"CAV3.1,NBR13"
131,ENSG00000006327,TNFRSF12A,18152,"CD266,FN14,TWEAKR"
132,ENSG00000006377,DLX6,2919,
133,ENSG00000006432,MAP3K9,6861,"MEKK9,MLK1,PRKE1"
134,ENSG00000006451,RALA,9839,RAL
135,ENSG00000006453,BAIAP2L1,21649,IRTKS
136,ENSG00000006459,KDM7A,22224,"JHDM1D,KIAA1718"
137,ENSG00000006468,ETV1,3490,ER81
138,ENSG00000006530,AGK,21869,"FLJ10842,MULK"
139,ENSG00000006534,ALDH3B1,410,ALDH7
140,ENSG00000006555,TTC22,26067,FLJ20619
141,ENSG00000006576,PHTF2,13411,DKFZP434D166
142,ENSG00000006606,CCL26,10625,"EOTAXIN-3,IMAC,MIP-4A,MIP-4ALPHA,SCYA26,TSC-1"
143,ENSG00000006607,FARP2,16460,"FIR,FRG,KIAA0793,PLEKHC3"
144,ENSG00000006611,USH1C,12597,"AIE-75,DFNB18,HARMONIN,NY-CO-37,NY-CO-38,PDZ-73,PDZ73,PDZD7C"
145,ENSG00000006625,GGCT,21705,"C7ORF24,CRF21,GCTG,GGC,MGC3077"
146,ENSG00000006634,DBF4,17364,"ASK,CHIF,DBF4A,ZDBF1"
147,ENSG00000006638,TBXA2R,11608,
148,ENSG00000006652,IFRD1,5456,"PC4,TIS7"
149,ENSG00000006659,LGALS14,30054,"CLC2,PPL13"
150,ENSG00000006695,COX10,2260,
151,ENSG00000006704,GTF2IRD1,4661,"BEN,CREAM1,GTF3,MUSTRD1,RBAP2,WBSCR11,WBSCR12"
152,ENSG00000006712,PAF1,25459,"F23149_1,FLJ11123,PD2"
153,ENSG00000006715,VPS41,12713,HVSP41
154,ENSG00000006740,ARHGAP44,29096,"KIAA0672,RICH-2,RICH2"
155,ENSG00000006744,ELAC2,14198,"FLJ10530,HPC2"
156,ENSG00000006747,SCIN,21695,KIAA1905
157,ENSG00000006756,ARSD,717,ASD
158,ENSG00000006757,PNPLA4,24887,"DXS1283E,GS2,IPLA2ETA"
159,ENSG00000006788,MYH13,7571,MYHC-EO
160,ENSG00000006831,ADIPOR2,24041,"ACDCR2,PAQR2"
161,ENSG00000006837,CDKL3,15483,NKIAMRE
162,ENSG00000007001,UPP2,23061,"UDRPASE2,UP2,UPASE2"
163,ENSG00000007038,PRSS21,9485,"ESP-1,TEST1"
164,ENSG00000007047,MARK4,13538,"FLJ90097,KIAA1860,MARKL1,NBLA00650,PAR-1D"
165,ENSG00000007062,PROM1,9454,"AC133,CD133,CORD12,MCDR2,PROML1,RP41,STGD4"
166,ENSG00000007080,CCDC124,25171,"LSO2,OXS1"
167,ENSG00000007129,CEACAM21,28834,"FLJ13540,R29124_1"
168,ENSG00000007168,PAFAH1B1,8574,"LIS1,MDCR,MDS,NUDF,PAFAH"
169,ENSG00000007171,NOS2,7873,"HEP-NOS,INOS,NOS,NOS2A"
170,ENSG00000007174,DNAH9,2953,"DNAH17L,DNAHC9,DNAL1,DYH9,HL-20,HL20,KIAA0357"
171,ENSG00000007202,BLTP2,28960,"BCOX,BCOX1,CT101,DKFZP686M0843,FMP27,HOB,KIAA0100,MGC111488"
172,ENSG00000007216,SLC13A2,10917,NADC-1
173,ENSG00000007237,GAS7,4169,"KIAA0394,MGC1348"
174,ENSG00000007255,TRAPPC6A,23069,"HSPC289,MGC2650,TRS33"
175,ENSG00000007264,MATK,6906,"CHK,CTK,DKFZP434N1212,HHYLTK,HYL,HYLTK,LSK,MGC1708,MGC2101"
176,ENSG00000007306,CEACAM7,1819,"CEA,CGM2"
177,ENSG00000007312,CD79B,1699,"B29,IG-BETA,IGB,IGBETA"
178,ENSG00000007314,SCN4A,10591,"HYKPP,HYPP,NAV1.4,SKM1"
179,ENSG00000007341,ST7L,18441,"FAM4B,FLJ20284,ST7R,STLR"
180,ENSG00000007350,TKTL1,11835,"TKR,TKT2"
181,ENSG00000007372,PAX6,8620,"AN,AN1,AN2,D11S812E,WAGR"
182,ENSG00000007376,RPUSD1,14173,"C16ORF40,MGC19600,RLUCL"
183,ENSG00000007384,RHBDF1,20561,"C16ORF8,DIST1,EGFR-RS,FLJ2235,IRHOM1"
184,ENSG00000007392,LUC7L,6723,"HLUC7B1,LUC7,LUC7B1"
185,ENSG00000007402,CACNA2D2,1400,"ALPHA2DELTA-2,KIAA0558"
186,ENSG00000007516,BAIAP3,948,"BAP3,KIAA0734"
187,ENSG00000007520,TSR3,14175,"C16ORF42,MGC24381"
188,ENSG00000007541,PIGQ,14135,"GPI1,HGPI1"
189,ENSG00000007545,CRAMP1,14122,"CRAMP1L,KIAA1426"
190,ENSG00000007866,TEAD3,11716,"ETFR-1,TEAD5,TEF-5"
191,ENSG00000007908,SELE,10718,"CD62E,ELAM,ELAM1,ESEL"
192,ENSG00000007923,DNAJC11,25570,FLJ10737
193,ENSG00000007933,FMO3,3771,FMOII
194,ENSG00000007944,MYLIP,21155,"IDOL,MIR"
195,ENSG00000007952,NOX1,7889,"GP91-2,MOX1,NOH-1,NOH-1L,NOH1"
196,ENSG00000007968,E2F2,3114,E2F-2
197,ENSG00000008018,PSMB1,9537,"HC5,PMSB1"
198,ENSG00000008056,SYN1,11494,MRX50
199,ENSG00000008083,JARID2,6196,JMJ
200,ENSG00000008086,CDKL5,11411,"CFAP247,EIEE2,STK9"
201,ENSG00000008118,CAMK1G,14585,"CLICKIII,DJ272L16.1,VWS1"
202,ENSG00000008128,CDK11A,1730,"CDC2L2,CDC2L3,CDK11-P110,CDK11-P46,CDK11-P58,P58GTA,PITSLRE"
203,ENSG00000008130,NADK,29831,"FLJ13052,NADK1"
204,ENSG00000008196,TFAP2B,11743,"AP-2BETA,AP2-B"
205,ENSG00000008197,TFAP2D,15581,"AP-2DELTA,TFAP2BL1"
206,ENSG00000008226,DLEC1,2899,"CFAP81,DLC1,FAP81"
207,ENSG00000008256,CYTH3,9504,"ARNO3,CYTOHESIN-3,GRP1,PSCD3"
208,ENSG00000008277,ADAM22,201,MDC2
209,ENSG00000008282,SYPL1,11507,SYPL
210,ENSG00000008283,CYB561,2571,"CGCYTB,CYB561A1,FRRS2"
211,ENSG00000008294,SPAG9,14524,"CT89,FLJ13450,FLJ14006,FLJ26141,FLJ34602,HLC4,HSS,JIP-4,JIP4,JLP,KIAA0516,MGC117291,MGC14967,MGC74461,PHET,PIG6,SYD1"
212,ENSG00000008300,CELSR3,3230,"ADGRC3,CDHF11,EGFL1,FMI1,HFMI1,MEGF2"
213,ENSG00000008311,AASS,17366,"LKRSDH,LORSDH"
214,ENSG00000008323,PLEKHG6,25562,"ARHGEF46,FLJ10665,MYOGEF"
215,ENSG00000008324,SS18L2,15593,KIAA-ISO
216,ENSG00000008382,MPND,25934,FLJ14981
217,ENSG00000008394,MGST1,7061,"GST12,MGST-I,PMAN"
218,ENSG00000008405,CRY1,2384,PHLL1
219,ENSG00000008438,PGLYRP1,8904,"PGLYRP,PGRP,PGRP-S,PGRPS,TAG7,TNFSF3L"
220,ENSG00000008441,NFIX,7788,NF1A
221,ENSG00000008513,ST3GAL1,10862,"SIAT4A,SIATFL,ST3GALA.1,ST3O"
222,ENSG00000008516,MMP25,14246,"MMP20,MMPL1,MT6-MMP"
223,ENSG00000008517,IL32,16830,"NK4,TAIF,TAIFB,TAIFD"
224,ENSG00000008710,PKD1,9008,"PBP,PC-1,TRPP1"
225,ENSG00000008735,MAPK8IP2,6883,"IB2,JIP2,PRKM8IPL"
226,ENSG00000008838,MED24,22963,"CRSP100,CRSP4,DRIP100,KIAA0130,MED5,THRAP4,TRAP100"
227,ENSG00000008853,RHOBTB2,18756,"DBC2,KIAA0717"
228,ENSG00000008869,HEATR5B,29273,"DKFZP686P15184,KIAA1414,P200,P200A"
229,ENSG00000008952,SEC62,11846,"DTRP1,HTP1,TLOC1"
230,ENSG00000008988,RPS20,10405,"S20,US10"
231,ENSG00000009307,CSDE1,29905,"D1S155E,UNR"
232,ENSG00000009335,UBE3C,16803,"KIAA0010,KIAA10"
233,ENSG00000009413,REV3L,9968,"POLZ,REV3"
234,ENSG00000009694,TENM1,8117,"ODZ1,ODZ3,TEN-M1,TEN1,TNM"
235,ENSG00000009709,PAX7,8621,HUP1
236,ENSG00000009724,MASP2,6902,"MAP-2,MAP19,MASP1P1,SMAP"
237,ENSG00000009765,IYD,21071,"C6ORF71,DEHAL1,DJ422F24.1"
238,ENSG00000009780,FAM76A,28530,MGC34648
239,ENSG00000009790,TRAF3IP3,30766,T3JAM
240,ENSG00000009830,POMT2,19743,LGMD2N
241,ENSG00000009844,VTA1,20954,"C6ORF55,HSPC228,MY012"
242,ENSG00000009950,MLXIPL,12744,"BHLHD14,CHREBP,MIO,MONDOB,WBSCR14,WS-BHLH"
243,ENSG00000009954,BAZ1B,961,"WBSCR10,WBSCR9,WSTF"
244,ENSG00000010017,RANBP9,13727,RANBPM
245,ENSG00000010030,ETV7,18160,"TEL-2,TEL2"
246,ENSG00000010072,SPRTN,25356,"C1ORF124,DKFZP547N043,DVC1,SPARTAN"
247,ENSG00000010165,METTL13,24248,"CGI-01,DFNM1,EEF1AKNMT,FEAT,KIAA0859"
248,ENSG00000010219,DYRK4,3095,
249,ENSG00000010244,ZNF207,12998,BUGZ
250,ENSG00000010256,UQCRC1,12585,"D3S3191,QCR1,UQCR1"
251,ENSG00000010270,STARD3NL,19169,"MENTHO,MGC3251"
252,ENSG00000010278,CD9,1709,"BA2,MIC3,MRP-1,P24,TSPAN29"
253,ENSG00000010282,HHATL,13242,"C3ORF3,GUP1,KIAA1173,MBOAT3,MSTP002,OACT3"
254,ENSG00000010292,NCAPD2,24305,"CAP-D2,CNAP1,HCAP-D2,KIAA0159"
255,ENSG00000010295,IFFO1,24970,"HOM-TES-103,IFFO"
256,ENSG00000010310,GIPR,4271,
257,ENSG00000010318,PHF7,18458,"HSPC226,NYD-SP6"
258,ENSG00000010319,SEMA3G,30400,"FLJ00014,SEM2"
259,ENSG00000010322,NISCH,18006,"I-1,IRAS,KIAA0975"
260,ENSG00000010327,STAB1,18628,"CLEVER-1,FEEL-1,FELE-1,FEX1,KIAA0246,SCARH2,STAB-1"
261,ENSG00000010361,FUZ,26219,"CPLANE3,FLJ22688,FY"
262,ENSG00000010379,SLC6A13,11046,GAT2
263,ENSG00000010404,IDS,5389,"ID2S,SIDS"
264,ENSG00000010438,PRSS3,9486,"PRSS4,TRY3,TRY4"
265,ENSG00000010539,ZNF200,12993,
266,ENSG00000010610,CD4,1678,"LEU-3,T4"
267,ENSG00000010626,LRRC23,19138,"B7,LRPB7"
268,ENSG00000010671,BTK,1133,"AGMX1,ATK,IMD1,PSCTK1,XLA"
269,ENSG00000010704,HFE,4886,"HFE1,HLA-H"
270,ENSG00000010803,SCMH1,19003,SCML3
271,ENSG00000010810,FYN,4037,"MGC45350,SLK,SYN"
272,ENSG00000010818,HIVEP2,4921,"HIV-EP2,MBP-2,MIBP1,SCHNURRI-2,ZAS2,ZNF40B"
273,ENSG00000010932,FMO1,3769,
274,ENSG00000011007,ELOA,11620,"ELOA1,SIII,TCEB3,TCEB3A"
275,ENSG00000011009,LYPLA2,6738,APT-2
276,ENSG00000011021,CLCN6,2024,"CLC-6,KIAA0046"
277,ENSG00000011028,MRC2,16875,"CD280,CLEC13E,ENDO180,KIAA0709"
278,ENSG00000011052,NME1-NME2,33531,"NM23-LV,NMELV"
279,ENSG00000011083,SLC6A7,11054,PROT
280,ENSG00000011105,TSPAN9,21640,NET-5
281,ENSG00000011114,BTBD7,18269,"FLJ10648,FUP1"
282,ENSG00000011132,APBA3,580,"MINT3,X11L2"
283,ENSG00000011143,MKS1,7121,"BBS13,FLJ20345,MKS,POC12"
284,ENSG00000011198,ABHD5,21396,"CGI-58,NCIE2"
285,ENSG00000011201,ANOS1,6211,"ADMLX,KAL,KAL1,KALIG-1,WFDC19"
286,ENSG00000011243,AKAP8L,29857,"HAP95,NAKAP95"
287,ENSG00000011258,MBTD1,19866,"FLJ20055,SA49P01"
288,ENSG00000011260,UTP18,24274,"CGI-48,WDR50"
289,ENSG00000011275,RNF216,21698,"TRIAD3,UBCE7IP1,ZIN"
290,ENSG00000011295,TTC19,26006,"FLJ20343,MGC19520"
291,ENSG00000011304,PTBP1,9583,"HNRNP-I,HNRPI,PPTB,PTB,PTB-1,PTB2,PTB3,PTB4"
292,ENSG00000011332,DPF1,20225,"BAF45B,NEUD4,NEURO-D4,SMARCG1"
293,ENSG00000011347,SYT7,11514,"IPCA-7,MGC150517,PCANAP7,SYT-VII"
294,ENSG00000011376,LARS2,17095,"KIAA0028,LEURS,MGC26121,MTLEURS"
295,ENSG00000011405,PIK3C2A,8971,PI3K-C2ALPHA
296,ENSG00000011422,PLAUR,9053,"CD87,UPAR,URKR"
297,ENSG00000011426,ANLN,14082,"ANILLIN,SCRA,SCRAPS"
298,ENSG00000011451,WIZ,30917,ZNF803
299,ENSG00000011454,RABGAP1,17155,"GAPCENA,TBC1D11"
300,ENSG00000011465,DCN,2705,"DSPG2,SLRR1B"
301,ENSG00000011478,QPCTL,25952,FLJ20084
302,ENSG00000011485,PPP5C,9322,"PP5,PPP5"
303,ENSG00000011523,CEP68,29076,KIAA0582
304,ENSG00000011566,MAP4K3,6865,"GLK,MAPKKKK3,RAB8IPL1"
305,ENSG00000011590,ZBTB32,16763,"FAXF,FAZF,MYNN,ROG,TZFP,ZNF538"
306,ENSG00000011600,TYROBP,12449,"DAP12,KARAP,PLO-SL,PLOSL"
307,ENSG00000011638,LDAF1,30136,"PROMETHIN,TMEM159"
308,ENSG00000011677,GABRA3,4077,
309,ENSG00000012048,BRCA1,1100,"BRCC1,FANCS,PPP1R53,RNF53"
310,ENSG00000012061,ERCC1,3433,RAD10
311,ENSG00000012124,CD22,1643,"SIGLEC-2,SIGLEC2"
312,ENSG00000012171,SEMA3B,10724,"LUCA-1,SEMA,SEMA5,SEMAA,SEMAV"
313,ENSG00000012174,MBTPS2,15455,"KFSD,S2P"
314,ENSG00000012211,PRICKLE3,6645,LMO6
315,ENSG00000012223,LTF,6720,HLF2
316,ENSG00000012232,EXTL3,3518,"BOTV,REGR"
317,ENSG00000012504,NR1H4,7967,"FXR,HRR-1,HRR1,RIP14"
318,ENSG00000012660,ELOVL5,21308,"DJ483K16.1,HELO1,SCA38"
319,ENSG00000012779,ALOX5,435,5-LOX
320,ENSG00000012817,KDM5D,11115,"HY,HYA,JARID1D,KIAA0234,SMCY"
321,ENSG00000012822,CALCOCO1,29306,"CALPHOGLIN,COCOA,KIAA1536"
322,ENSG00000012963,UBR7,20344,C14ORF130
323,ENSG00000012983,MAP4K5,6867,"GCKR,KHS,KHS1"
324,ENSG00000013016,EHD3,3244,PAST3
325,ENSG00000013275,PSMC4,9551,"MGC13687,MGC23214,MGC8570,MIP224,RPT3,S6,TBP-7,TBP7"
326,ENSG00000013288,MAN2B2,29623,"EPMAN,KIAA0935"
327,ENSG00000013293,SLC7A14,29326,"KIAA1613,PPP1R142"
328,ENSG00000013297,CLDN11,8514,"OSP,OTM"
329,ENSG00000013306,SLC25A39,24279,"CGI-69,FLJ22407"
330,ENSG00000013364,MVP,7531,"LRP,VAULT1"
331,ENSG00000013374,NUB1,17623,"BS4,NUB1L,NYREN18"
332,ENSG00000013375,PGM3,8907,"AGM1,DKFZP434B187,PAGM"
333,ENSG00000013392,RWDD2A,21385,"DJ747H23.2,MGC13523,RWDD2"
334,ENSG00000013441,CLK1,2068,
335,ENSG00000013503,POLR3B,30348,"C128,FLJ10388,RPC2"
336,ENSG00000013523,ANGEL1,19961,"CCR4E,KIAA0759"
337,ENSG00000013561,RNF14,10058,"ARA54,HFB30,TRIAD2"
338,ENSG00000013563,DNASE1L1,2957,"DNAS1L1,DNASEX,DNL1L,XIB"
339,ENSG00000013573,DDX11,2736,"CHL1,CHLR1,KRG-2,WABS"
340,ENSG00000013583,HEBP1,17176,"HBP,HEBP"
341,ENSG00000013588,GPRC5A,9836,"PEIG-1,RAI3,RAIG1,TIG1"
342,ENSG00000013619,MAMLD1,2568,"CG1,CXORF6,F18"
343,ENSG00000013725,CD6,1691,TP120
344,ENSG00000013810,TACC3,11524,"ERIC-1,ERIC1,MASKIN,TACC4"
345,ENSG00000014123,UFL1,23039,"KIAA0776,MAXER,NLBP,RCAD"
346,ENSG00000014138,POLA2,30073,FLJ21662
347,ENSG00000014164,ZC3H3,28972,"KIAA0150,ZC3HDC3"
348,ENSG00000014216,CAPN1,1476,"CANP,CANPL1,MUCANP,MUCL"
349,ENSG00000014257,ACP3,125,"ACP-3,ACPP,PAP,TM-PAP"
350,ENSG00000014641,MDH1,6970,
351,ENSG00000014824,SLC30A9,1329,"C4ORF1,GAC63,HUEL,ZNT9"
352,ENSG00000014914,MTMR11,24307,CRA
353,ENSG00000014919,COX15,2263,CEMCOX2
354,ENSG00000015133,CCDC88C,19967,"DAPLE,HKRP2,KIAA1509,SCA40"
355,ENSG00000015153,YAF2,17363,
356,ENSG00000015171,ZMYND11,16966,"BRAM1,BS69"
357,ENSG00000015285,WAS,12731,"IMD2,THC,WASP,WASPA"
358,ENSG00000015413,DPEP1,3002,
359,ENSG00000015475,BID,1050,
360,ENSG00000015479,MATR3,6912,"ALS21,MPD2,VCPDM,KIAA0723,MGC9105,MPD2,VCPDM"
361,ENSG00000015520,NPC1L1,7898,SLC65A2
362,ENSG00000015532,XYLT2,15517,"PXYLT2,XT-II"
363,ENSG00000015568,RGPD5,32418,"BS-63,DKFZP686I1842,RGP5,BS-63,DKFZP686I1842,RGP5"
364,ENSG00000015592,STMN4,16078,RB3
365,ENSG00000015676,NUDCD3,22208,"KIAA1068,NUDCL"
366,ENSG00000016082,ISL1,6132,"ISL-1,ISLET1"
