ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,alias_symbol
ENSG00000005238,ATOSB,25666,80256,"FLJ11560, bA182N22.6"
ENSG00000005243,COPZ2,19356,51226,MGC23008
ENSG00000005249,PRKAR2B,9392,5577,
ENSG00000005302,MSL3,7370,10943,
ENSG00000005339,CREBBP,2348,1387,"RTS, CBP, KAT3A"
ENSG00000005379,TSPOAP1,16831,9256,"PRAX-1, KIAA0612, RIM-BP1, RIMBP1"
ENSG00000005381,MPO,7218,4353,
ENSG00000005421,PON1,9204,5444,ESA
ENSG00000005436,GCFC2,1317,6936,"DNABF, GCF"
ENSG00000005448,WDR54,25770,84058,FLJ12953
ENSG00000005469,CROT,2366,54677,COT
ENSG00000005471,ABCB4,45,5244,"MDR2, PFIC-3, GBD1"
ENSG00000005483,KMT2E,18541,55904,"HDCMC04P, SETD5B"
ENSG00000005486,RHBDD2,23082,57414,NPD007
ENSG00000005513,SOX8,11203,30812,
ENSG00000005700,IBTK,17853,25998,"DKFZP564B116, BTBD26"
ENSG00000005801,ZNF195,12986,7748,
ENSG00000005810,MYCBP2,23386,23077,"PAM, KIAA0916, FLJ10106, PHR1"
ENSG00000005812,FBXL3,13599,26224,"FBL3, FBL3A"
ENSG00000005844,ITGAL,6148,3683,"LFA-1, LFA1A"
ENSG00000005882,PDK2,8810,5164,PDHK2
ENSG00000005884,ITGA3,6139,3675,"CD49c, VLA3a, VCA-2, GAP-B3"
ENSG00000005889,ZFX,12869,7543,ZNF926
ENSG00000005893,LAMP2,6501,3920,CD107b
ENSG00000005961,ITGA2B,6138,3674,"CD41B, CD41, PPP1R93, GPIIb"
ENSG00000005981,ASB4,16009,51666,ASB-4
ENSG00000006007,GDE1,29644,51573,MIR16
ENSG00000006015,REX1BD,26098,55049,"FLJ20850, FLJ30108, FLJ34606, FLJ37391"
ENSG00000006016,CRLF1,2364,9244,"CLF-1, CLF, CISS, CISS1"
ENSG00000006025,OSBPL7,16387,114881,"ORP7, MGC71150"
ENSG00000006042,TMEM98,24529,26022,DKFZP564K1964
ENSG00000006047,YBX2,17948,51087,"MSY2, CSDA3, Contrin"
ENSG00000006059,KRT33A,6450,3883,"Ha-3I, Krt1-3"
ENSG00000006062,MAP3K14,6853,9020,"NIK, HSNIK, FTDCR1B, HS"
ENSG00000006071,ABCC8,59,6833,"HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2"
ENSG00000006116,CACNG3,1407,10368,
ENSG00000006118,TMEM132A,31092,54972,"GBP, FLJ20539"
ENSG00000006125,AP2B1,563,163,
ENSG00000006128,TAC1,11517,6863,NPK
ENSG00000006194,ZNF263,13056,10127,"FPM315, ZKSCAN12, ZSCAN44"
ENSG00000006210,CX3CL1,10647,6376,"NTN, C3Xkine, ABCD-3, CXC3C, CXC3"
ENSG00000006282,SPATA20,26125,64847,"FLJ21347, SSP411, Tisp78"
ENSG00000006283,CACNA1G,1394,8913,"Cav3.1, NBR13"
ENSG00000006327,TNFRSF12A,18152,51330,"FN14, TweakR, CD266"
ENSG00000006377,DLX6,2919,1750,
ENSG00000006432,MAP3K9,6861,4293,"PRKE1, MEKK9"
ENSG00000006451,RALA,9839,5898,
ENSG00000006453,BAIAP2L1,21649,55971,IRTKS
ENSG00000006459,KDM7A,22224,80853,KIAA1718
ENSG00000006468,ETV1,3490,2115,ER81
ENSG00000006530,AGK,21869,55750,FLJ10842
ENSG00000006534,ALDH3B1,410,221,
ENSG00000006555,TTC22,26067,55001,FLJ20619
ENSG00000006576,PHTF2,13411,57157,DKFZp434D166
ENSG00000006606,CCL26,10625,10344,"MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1"
ENSG00000006607,FARP2,16460,9855,"KIAA0793, FIR, PLEKHC3, FRG"
ENSG00000006611,USH1C,12597,10083,"PDZ73, harmonin, NY-CO-37, NY-CO-38, PDZ-73, AIE-75, PDZD7C"
ENSG00000006625,GGCT,21705,79017,"MGC3077, CRF21, Ggc"
ENSG00000006634,DBF4,17364,10926,"ASK, chif, ZDBF1, DBF4A"
ENSG00000006638,TBXA2R,11608,6915,
ENSG00000006652,IFRD1,5456,3475,"PC4, TIS7"
ENSG00000006659,LGALS14,30054,56891,"PPL13, CLC2"
ENSG00000006695,COX10,2260,1352,
ENSG00000006704,GTF2IRD1,4661,9569,"MusTRD1, RBAP2, GTF3, WBSCR12, BEN, Cream1"
ENSG00000006712,PAF1,25459,54623,"PD2, F23149_1, FLJ11123"
ENSG00000006715,VPS41,12713,27072,HVSP41
ENSG00000006740,ARHGAP44,29096,9912,"KIAA0672, RICH-2, RICH2"
ENSG00000006744,ELAC2,14198,60528,"FLJ10530, HPC2"
ENSG00000006747,SCIN,21695,85477,KIAA1905
ENSG00000006756,ARSD,717,414,ASD
ENSG00000006757,PNPLA4,24887,8228,"DXS1283E, GS2, iPLA2eta"
ENSG00000006788,MYH13,7571,8735,MyHC-eo
ENSG00000006831,ADIPOR2,24041,79602,"PAQR2, ACDCR2"
ENSG00000006837,CDKL3,15483,51265,NKIAMRE
ENSG00000007001,UPP2,23061,151531,"UPASE2, UP2, UDRPASE2"
ENSG00000007038,PRSS21,9485,10942,"ESP-1, TEST1"
ENSG00000007047,MARK4,13538,57787,"Nbla00650, FLJ90097, KIAA1860, PAR-1D"
ENSG00000007062,PROM1,9454,8842,"AC133, CD133, RP41, CORD12"
ENSG00000007080,CCDC124,25171,115098,"Lso2, oxs1"
ENSG00000007129,CEACAM21,28834,90273,"R29124_1, FLJ13540"
ENSG00000007168,PAFAH1B1,8574,5048,"LIS1, PAFAH, NudF"
ENSG00000007171,NOS2,7873,4843,"iNOS, NOS, HEP-NOS"
ENSG00000007174,DNAH9,2953,1770,"Dnahc9, KIAA0357, HL20, HL-20, DNAL1, DYH9"
ENSG00000007202,BLTP2,28960,9703,"DKFZp686M0843, MGC111488, BCOX1, CT101, BCOX, FMP27, Hob"
ENSG00000007216,SLC13A2,10917,9058,NaDC-1
ENSG00000007237,GAS7,4169,8522,"KIAA0394, MGC1348"
ENSG00000007255,TRAPPC6A,23069,79090,"TRS33, MGC2650, HSPC289"
ENSG00000007264,MATK,6906,4145,"HYLTK, CTK, HYL, Lsk, CHK, HHYLTK, DKFZp434N1212, MGC1708, MGC2101"
ENSG00000007306,CEACAM7,1819,1087,CEA
ENSG00000007312,CD79B,1699,974,"B29, Ig-beta, Igbeta"
ENSG00000007314,SCN4A,10591,6329,"Nav1.4, HYPP, SkM1"
ENSG00000007341,ST7L,18441,54879,"FLJ20284, STLR, ST7R, FAM4B"
ENSG00000007350,TKTL1,11835,8277,"TKR, TKT2"
ENSG00000007372,PAX6,8620,5080,"D11S812E, AN, WAGR"
ENSG00000007376,RPUSD1,14173,113000,"RLUCL, MGC19600"
ENSG00000007384,RHBDF1,20561,64285,"EGFR-RS, FLJ2235, Dist1, iRhom1"
ENSG00000007392,LUC7L,6723,55692,"LUC7B1, hLuc7B1, Luc7"
ENSG00000007402,CACNA2D2,1400,9254,"KIAA0558, alpha2delta-2"
ENSG00000007516,BAIAP3,948,8938,"BAP3, KIAA0734"
ENSG00000007520,TSR3,14175,115939,MGC24381
ENSG00000007541,PIGQ,14135,9091,"hGPI1, GPI1"
ENSG00000007545,CRAMP1,14122,57585,KIAA1426
ENSG00000007866,TEAD3,11716,7005,"TEF-5, ETFR-1"
ENSG00000007908,SELE,10718,6401,"ESEL, CD62E"
ENSG00000007923,DNAJC11,25570,55735,FLJ10737
ENSG00000007933,FMO3,3771,2328,FMOII
ENSG00000007944,MYLIP,21155,29116,"MIR, IDOL"
ENSG00000007952,NOX1,7889,27035,"NOH1, NOH-1, MOX1, GP91-2, NOH-1L"
ENSG00000007968,E2F2,3114,1870,E2F-2
ENSG00000008018,PSMB1,9537,5689,"PMSB1, HC5"
ENSG00000008056,SYN1,11494,6853,
ENSG00000008083,JARID2,6196,3720,
ENSG00000008086,CDKL5,11411,6792,"EIEE2, CFAP247"
ENSG00000008118,CAMK1G,14585,57172,"VWS1, CLICKIII, dJ272L16.1"
ENSG00000008128,CDK11A,1730,728642,"PITSLRE, CDK11-p110, CDK11-p58, CDK11-p46, p58GTA"
ENSG00000008130,NADK,29831,65220,"FLJ13052, NADK1"
ENSG00000008196,TFAP2B,11743,7021,"AP2-B, AP-2beta"
ENSG00000008197,TFAP2D,15581,83741,AP-2delta
ENSG00000008226,DLEC1,2899,9940,"DLC1, CFAP81, FAP81"
ENSG00000008256,CYTH3,9504,9265,"GRP1, ARNO3, cytohesin-3"
ENSG00000008277,ADAM22,201,53616,MDC2
ENSG00000008282,SYPL1,11507,6856,
ENSG00000008283,CYB561,2571,1534,"FRRS2, CYB561A1, CGCytb"
ENSG00000008294,SPAG9,14524,9043,"HSS, SYD1, KIAA0516, MGC14967, MGC74461, MGC117291, JLP, PHET, HLC4, FLJ13450, FLJ14006, FLJ26141, FLJ34602, CT89, JIP4, JIP-4, PIG6"
ENSG00000008300,CELSR3,3230,1951,"MEGF2, HFMI1, FMI1, CDHF11, ADGRC3"
ENSG00000008311,AASS,17366,10157,"LORSDH, LKRSDH, LKR/SDH"
ENSG00000008323,PLEKHG6,25562,55200,"FLJ10665, MYOGEF, ARHGEF46"
ENSG00000008324,SS18L2,15593,51188,KIAA-iso
ENSG00000008382,MPND,25934,84954,FLJ14981
ENSG00000008394,MGST1,7061,4257,"MGST-I, PMAN"
ENSG00000008405,CRY1,2384,1407,
ENSG00000008438,PGLYRP1,8904,8993,"TAG7, PGRP, PGRP-S, PGRPS"
ENSG00000008441,NFIX,7788,4784,NF1A
ENSG00000008513,ST3GAL1,10862,6482,"ST3O, SIATFL, ST3GalA.1"
ENSG00000008516,MMP25,14246,64386,MT6-MMP
ENSG00000008517,IL32,16830,9235,"NK4, TAIF, TAIFb, TAIFd"
ENSG00000008710,PKD1,9008,5310,"PBP, Pc-1, TRPP1"
ENSG00000008735,MAPK8IP2,6883,23542,"IB2, JIP2"
ENSG00000008838,MED24,22963,9862,"TRAP100, KIAA0130, DRIP100, CRSP100, MED5"
ENSG00000008853,RHOBTB2,18756,23221,"KIAA0717, DBC2"
ENSG00000008869,HEATR5B,29273,54497,"KIAA1414, DKFZp686P15184, p200, p200a"
ENSG00000008952,SEC62,11846,7095,"Dtrp1, HTP1"
ENSG00000008988,RPS20,10405,6224,"S20, uS10"
ENSG00000009307,CSDE1,29905,7812,"D1S155E, UNR"
ENSG00000009335,UBE3C,16803,9690,"KIAA0010, KIAA10"
ENSG00000009413,REV3L,9968,5980,"POLZ, REV3"
ENSG00000009694,TENM1,8117,10178,"TEN-M1, TEN1"
ENSG00000009709,PAX7,8621,5081,Hup1
ENSG00000009724,MASP2,6902,10747,"Map19, sMAP, MAP-2"
ENSG00000009765,IYD,21071,389434,"dJ422F24.1, DEHAL1"
ENSG00000009780,FAM76A,28530,199870,MGC34648
ENSG00000009790,TRAF3IP3,30766,80342,T3JAM
ENSG00000009830,POMT2,19743,29954,LGMD2N
ENSG00000009844,VTA1,20954,51534,"HSPC228, My012"
ENSG00000009950,MLXIPL,12744,51085,"WS-bHLH, MIO, CHREBP, MONDOB, bHLHd14"
ENSG00000009954,BAZ1B,961,9031,WSTF
ENSG00000010017,RANBP9,13727,10048,RanBPM
ENSG00000010030,ETV7,18160,51513,"TEL2, TEL-2"
ENSG00000010072,SPRTN,25356,83932,"DKFZP547N043, Spartan, DVC1"
ENSG00000010165,METTL13,24248,51603,"CGI-01, FEAT"
ENSG00000010219,DYRK4,3095,8798,
ENSG00000010244,ZNF207,12998,7756,BuGZ
ENSG00000010256,UQCRC1,12585,7384,"D3S3191, QCR1, UQCR1"
ENSG00000010270,STARD3NL,19169,83930,"MENTHO, MGC3251"
ENSG00000010278,CD9,1709,928,"BA2, P24, TSPAN29, MRP-1"
ENSG00000010282,HHATL,13242,57467,"KIAA1173, OACT3, MSTP002, MBOAT3"
ENSG00000010292,NCAPD2,24305,9918,"CNAP1, hCAP-D2, CAP-D2, KIAA0159"
ENSG00000010295,IFFO1,24970,25900,HOM-TES-103
ENSG00000010310,GIPR,4271,2696,
ENSG00000010318,PHF7,18458,51533,"NYD-SP6, HSPC226"
ENSG00000010319,SEMA3G,30400,56920,"FLJ00014, sem2"
ENSG00000010322,NISCH,18006,11188,"KIAA0975, I-1, IRAS"
ENSG00000010327,STAB1,18628,23166,"KIAA0246, STAB-1, FEEL-1, CLEVER-1, FELE-1, FEX1, SCARH2"
ENSG00000010361,FUZ,26219,80199,"FLJ22688, Fy, CPLANE3"
ENSG00000010379,SLC6A13,11046,6540,GAT2
ENSG00000010404,IDS,5389,3423,ID2S
ENSG00000010438,PRSS3,9486,5646,"TRY3, TRY4"
ENSG00000010539,ZNF200,12993,7752,
ENSG00000010610,CD4,1678,920,"T4, Leu-3"
ENSG00000010626,LRRC23,19138,10233,"B7, LRPB7"
ENSG00000010671,BTK,1133,695,"ATK, XLA, PSCTK1"
ENSG00000010704,HFE,4886,3077,"HLA-H, HFE1"
ENSG00000010803,SCMH1,19003,22955,Scml3
ENSG00000010810,FYN,4037,2534,"SYN, SLK, MGC45350"
ENSG00000010818,HIVEP2,4921,3097,"MBP-2, HIV-EP2, MIBP1, ZAS2, Schnurri-2, ZNF40B"
ENSG00000010932,FMO1,3769,2326,
ENSG00000011007,ELOA,11620,6924,"SIII, TCEB3A, ELOA1"
ENSG00000011009,LYPLA2,6738,11313,APT-2
ENSG00000011021,CLCN6,2024,1185,"CLC-6, KIAA0046, ClC-6"
ENSG00000011028,MRC2,16875,9902,"KIAA0709, ENDO180, CLEC13E, CD280"
ENSG00000011052,NME1-NME2,33531,654364,"NM23-LV, NMELV"
ENSG00000011083,SLC6A7,11054,6534,PROT
ENSG00000011105,TSPAN9,21640,10867,NET-5
ENSG00000011114,BTBD7,18269,55727,"FLJ10648, FUP1"
ENSG00000011132,APBA3,580,9546,"X11L2, mint3"
ENSG00000011143,MKS1,7121,54903,"FLJ20345, POC12, BBS13"
ENSG00000011198,ABHD5,21396,51099,"CGI-58, NCIE2"
ENSG00000011201,ANOS1,6211,3730,"KALIG-1, WFDC19"
ENSG00000011243,AKAP8L,29857,26993,"NAKAP95, HAP95"
ENSG00000011258,MBTD1,19866,54799,"SA49P01, FLJ20055"
ENSG00000011260,UTP18,24274,51096,CGI-48
ENSG00000011275,RNF216,21698,54476,"TRIAD3, UBCE7IP1, ZIN"
ENSG00000011295,TTC19,26006,54902,"FLJ20343, MGC19520"
ENSG00000011304,PTBP1,9583,5725,"HNRPI, HNRNP-I, PTB2, PTB3, PTB-1, PTB4, pPTB"
ENSG00000011332,DPF1,20225,8193,"neuro-d4, NEUD4, BAF45b, SMARCG1"
ENSG00000011347,SYT7,11514,9066,"IPCA-7, SYT-VII, MGC150517"
ENSG00000011376,LARS2,17095,23395,"KIAA0028, LEURS, MGC26121, mtLeuRS"
ENSG00000011405,PIK3C2A,8971,5286,PI3K-C2alpha
ENSG00000011422,PLAUR,9053,5329,"URKR, UPAR, CD87"
ENSG00000011426,ANLN,14082,54443,"ANILLIN, Scraps, scra"
ENSG00000011451,WIZ,30917,58525,ZNF803
ENSG00000011454,RABGAP1,17155,23637,"GAPCenA, TBC1D11"
ENSG00000011465,DCN,2705,1634,"DSPG2, SLRR1B"
ENSG00000011478,QPCTL,25952,54814,FLJ20084
ENSG00000011485,PPP5C,9322,5536,PP5
ENSG00000011523,CEP68,29076,23177,
ENSG00000011566,MAP4K3,6865,8491,"GLK, MAPKKKK3"
ENSG00000011590,ZBTB32,16763,27033,"TZFP, FAZF, FAXF, Rog, ZNF538, mynn"
ENSG00000011600,TYROBP,12449,7305,"DAP12, PLO-SL, KARAP"
ENSG00000011638,LDAF1,30136,57146,promethin
ENSG00000011677,GABRA3,4077,2556,
ENSG00000012048,BRCA1,1100,672,"RNF53, BRCC1, PPP1R53, FANCS"
ENSG00000012061,ERCC1,3433,2067,RAD10
ENSG00000012124,CD22,1643,933,"SIGLEC-2, SIGLEC2"
ENSG00000012171,SEMA3B,10724,7869,"SemA, semaV, LUCA-1, sema5"
ENSG00000012174,MBTPS2,15455,51360,S2P
ENSG00000012211,PRICKLE3,6645,4007,
ENSG00000012223,LTF,6720,4057,HLF2
ENSG00000012232,EXTL3,3518,2137,"botv, REGR"
ENSG00000012504,NR1H4,7967,9971,"FXR, RIP14, HRR1, HRR-1"
ENSG00000012660,ELOVL5,21308,60481,"HELO1, dJ483K16.1"
ENSG00000012779,ALOX5,435,240,5-LOX
ENSG00000012817,KDM5D,11115,8284,KIAA0234
ENSG00000012822,CALCOCO1,29306,57658,"KIAA1536, calphoglin, Cocoa"
ENSG00000012963,UBR7,20344,55148,
ENSG00000012983,MAP4K5,6867,11183,"KHS1, GCKR, KHS"
ENSG00000013016,EHD3,3244,30845,
ENSG00000013275,PSMC4,9551,5704,"TBP7, S6, MGC8570, MGC13687, MGC23214, TBP-7, RPT3"
ENSG00000013288,MAN2B2,29623,23324,"KIAA0935, EpMAN"
ENSG00000013293,SLC7A14,29326,57709,"KIAA1613, PPP1R142"
ENSG00000013297,CLDN11,8514,5010,OSP
ENSG00000013306,SLC25A39,24279,51629,"FLJ22407, CGI-69"
ENSG00000013364,MVP,7531,9961,"LRP, VAULT1"
ENSG00000013374,NUB1,17623,51667,"BS4, NYREN18, NUB1L"
ENSG00000013375,PGM3,8907,5238,"AGM1, DKFZP434B187, PAGM"
ENSG00000013392,RWDD2A,21385,112611,"MGC13523, dJ747H23.2"
ENSG00000013441,CLK1,2068,1195,
ENSG00000013503,POLR3B,30348,55703,"RPC2, FLJ10388, C128"
ENSG00000013523,ANGEL1,19961,23357,Ccr4e
ENSG00000013561,RNF14,10058,9604,"ARA54, HFB30, TRIAD2"
ENSG00000013563,DNASE1L1,2957,1774,"DNAS1L1, XIB, DNASEX"
ENSG00000013573,DDX11,2736,1663,"ChlR1, KRG-2, CHL1, WABS"
ENSG00000013583,HEBP1,17176,50865,"HEBP, HBP"
ENSG00000013588,GPRC5A,9836,9052,"RAIG1, TIG1, PEIG-1"
ENSG00000013619,MAMLD1,2568,10046,"CG1, F18"
ENSG00000013725,CD6,1691,923,Tp120
ENSG00000013810,TACC3,11524,10460,"ERIC1, ERIC-1, maskin, Tacc4"
ENSG00000014123,UFL1,23039,23376,"NLBP, Maxer, RCAD"
ENSG00000014138,POLA2,30073,23649,FLJ21662
ENSG00000014164,ZC3H3,28972,23144,KIAA0150
ENSG00000014216,CAPN1,1476,823,"muCANP, muCL, CANP, CANPL1"
ENSG00000014257,ACP3,125,55,"ACP-3, PAP, TM-PAP"
ENSG00000014641,MDH1,6970,4190,
ENSG00000014824,SLC30A9,1329,10463,"HUEL, ZNT9, GAC63"
ENSG00000014914,MTMR11,24307,10903,CRA
ENSG00000014919,COX15,2263,1355,CEMCOX2
ENSG00000015133,CCDC88C,19967,440193,"DAPLE, HkRP2, SCA40"
ENSG00000015153,YAF2,17363,10138,
ENSG00000015171,ZMYND11,16966,10771,"BS69, BRAM1"
ENSG00000015285,WAS,12731,7454,"WASP, WASPA"
ENSG00000015413,DPEP1,3002,1800,
ENSG00000015475,BID,1050,637,
ENSG00000015479,MATR3,6912,9782,"KIAA0723, MGC9105, VCPDM"
ENSG00000015520,NPC1L1,7898,29881,SLC65A2
ENSG00000015532,XYLT2,15517,64132,"XT-II, PXYLT2"
ENSG00000015568,RGPD5,32418,84220,"RGP5, BS-63, DKFZp686I1842"
ENSG00000015592,STMN4,16078,81551,RB3
ENSG00000015676,NUDCD3,22208,23386,"KIAA1068, NudCL"
ENSG00000016082,ISL1,6132,3670,"Isl-1, ISLET1"
ENSG00000016391,CHDH,24288,55349,
ENSG00000016402,IL20RA,6003,53832,"ZCYTOR7, IL-20R1"
ENSG00000016490,CLCA1,2015,1179,"CaCC, CLCRG1"
ENSG00000016602,CLCA4,2018,22802,CaCC2
ENSG00000016864,GLT8D1,24870,55830,"AD-017, FLJ14611"
ENSG00000017260,ATP2C1,13211,27032,"KIAA1347, ATP2C1A, PMR1, SPCA1"
ENSG00000017427,IGF1,5464,3479,"IGF1A, IGFI, IGF-I, IGF"
ENSG00000017483,SLC38A5,18070,92745,"SN2, JM24, SNAT5"
ENSG00000017797,RALBP1,9841,10928,"RLIP76, RIP1, RIP"
ENSG00000018189,RUFY3,30285,22902,"RIPx, KIAA0871, Singar1, ZFYVE30"
ENSG00000018236,CNTN1,2171,1272,"F3, GP135"
ENSG00000018280,SLC11A1,10907,6556,
ENSG00000018408,WWTR1,24042,25937,"TAZ, DKFZp586I1419"
ENSG00000018510,AGPS,327,8540,"ADHAPS, ADAS, ALDHPSY, ADPS, ADAP-S"
ENSG00000018607,ZNF285CP,33228,646915,
ENSG00000018610,STEEP1,26239,63932,FLJ22965
ENSG00000018625,ATP1A2,800,477,FHM2
ENSG00000018699,TTC27,25986,55622,FLJ20272
ENSG00000018869,ZNF582,26421,147948,FLJ30927
ENSG00000019102,VSIG2,17149,23584,"CTXL, CTH"
ENSG00000019144,PHLDB1,23697,23187,"FLJ00141, LL5a, KIAA0638"
ENSG00000019169,MARCO,6895,8685,"SCARA2, SR-A6"
ENSG00000019186,CYP24A1,2602,1591,"CP24, P450-CC24, lncBCAS1-4_1"
ENSG00000019485,PRDM11,13996,56981,PFM8
ENSG00000019505,SYT13,14962,57586,KIAA1427
ENSG00000019549,SNAI2,11094,6591,"SLUGH1, SNAIL2, SLUGH"
ENSG00000019582,CD74,1697,972,CLIP
