,ENSG_ID,gene_symbol,HGNC_ID,NCBI_ID,aliases,collision_symbol,source
9163,ENSG00000148481,MINDY3,23578,80013,"C10ORF97, CARP, DERP5, FAM188A, FLJ13397, MY042", CARP,ENSG
9183,ENSG00000148677,ANKRD1,15819,27063,"ALRP, C-193, CARP, CVARP, MCARP", CARP,ENSG
41314,ENSG00000248333,CDK11B,1729,984,"CDC2L1, CDK11-P110, CDK11-P46, CDK11-P58", CDK11-P110,ENSG
203,ENSG00000008128,CDK11A,1730,728642,"CDC2L2, CDC2L3, CDK11-P110, CDK11-P46, CDK11-P58, P58GTA, PITSLRE", CDK11-P110,ENSG
203,ENSG00000008128,CDK11A,1730,728642,"CDC2L2, CDC2L3, CDK11-P110, CDK11-P46, CDK11-P58, P58GTA, PITSLRE", CDK11-P46,ENSG
41314,ENSG00000248333,CDK11B,1729,984,"CDC2L1, CDK11-P110, CDK11-P46, CDK11-P58", CDK11-P46,ENSG
41314,ENSG00000248333,CDK11B,1729,984,"CDC2L1, CDK11-P110, CDK11-P46, CDK11-P58", CDK11-P58,ENSG
203,ENSG00000008128,CDK11A,1730,728642,"CDC2L2, CDC2L3, CDK11-P110, CDK11-P46, CDK11-P58, P58GTA, PITSLRE", CDK11-P58,ENSG
17977,ENSG00000198610,AKR1C4,387,1109,"3-ALPHA-HSD, C11, CDR, CHDR, DD4, HAKRA, MGC22581", CDR,ENSG
1453,ENSG00000079102,RUNX1T1,1535,862,"AML1T1, CBFA2T1, CDR, ETO, MTG8, ZMYND2", CDR,ENSG
9973,ENSG00000155849,ELMO1,16286,9844,"CED-12, CED12, ELMO-1, KIAA0281", CED12,ENSG
847,ENSG00000062598,ELMO2,17233,63916,"CED-12, CED12, ELMO-2, FLJ11656, KIAA1834", CED12,ENSG
2733,ENSG00000102890,ELMO3,17289,79767,"CED-12, CED12, ELMO-3, FLJ13824", CED12,ENSG
5815,ENSG00000126001,CEP250,1859,11190,"C-NAP1, CEP2", CEP2,ENSG
9325,ENSG00000149798,CDC42EP2,16263,10435,"BORG1, CEP2", CEP2,ENSG
11032,ENSG00000163220,S100A9,10499,6280,"60B8AG, CAGB, CFAG, CGLB, LIAG, MAC387, MIF, MRP-14, MRP14, NIF, P14, S100-A9", CFAG,ENSG
8474,ENSG00000143546,S100A8,10498,6279,"60B8AG, CAGA, CFAG, CGLA, MRP-8, MRP8, P8, S100-A8", CFAG,ENSG
11033,ENSG00000163221,S100A12,10489,6283,"CAAF1, CAGC, CGRP, ENRAGE, MRP6, P6", CGRP,ENSG
3816,ENSG00000110680,CALCA,1437,796,"CALC1, CGRP, CGRP-ALPHA", CGRP,ENSG
954,ENSG00000065883,CDK13,1733,8621,"CDC2L, CDC2L5, CHED, KIAA1791", CHED,ENSG
5772,ENSG00000125850,OVOL2,15804,58495,"BA504H3.3, CHED, CHED1, HOVO2, ZNF339", CHED,ENSG
6647,ENSG00000132549,VPS13B,2183,157680,"BLTP5B, CHS1, COH1", CHS1,ENSG
8500,ENSG00000143669,LYST,1968,1130,"CHS, CHS1, MAUVE", CHS1,ENSG
