,collision,ENSG_ID,gene_symbol,source
82,ASP,"ENSG00000153802, ENSG00000145491, ENSG00000057663, ENSG00000148584, ENSG00000066279, ENSG00000108381, ENSG00000101440","TMPRSS11D, ROPN1L, ATG5, A1CF, ASPM, ASPA, ASIP",HGNC
83,AST,"ENSG00000120053, ENSG00000119899","GOT1, SLC17A5",HGNC
84,AT1,"ENSG00000169359, ENSG00000282728, ENSG00000144891","SLC33A1, PGR-AS1, AGTR1",HGNC
85,AT2,"ENSG00000282728, ENSG00000180772","PGR-AS1, AGTR2",HGNC
86,ATR,"ENSG00000258597, ENSG00000169604","SERPINA2, ANTXR1",HGNC
87,ATR1,"ENSG00000144891, ENSG00000138079","AGTR1, SLC3A1",HGNC
88,ATX,"ENSG00000197587, ENSG00000157106, ENSG00000136960","DMBX1, SMG1, ENPP2",HGNC
89,AZ1,"ENSG00000104904, ENSG00000141577","OAZ1, CEP131",HGNC
90,AZFA,"ENSG00000114374, nan","USP9Y, AZF1",HGNC
91,B1,"ENSG00000156738, ENSG00000122507","MS4A1, BBS9",HGNC
92,B12,"ENSG00000119013, ENSG00000109079","NDUFB3, TNFAIP1",HGNC
93,B17,"ENSG00000159147, ENSG00000165264","DONSON, NDUFB6",HGNC
94,B18,"ENSG00000099795, ENSG00000166979","NDUFB7, EVA1C",HGNC
95,B29,"ENSG00000007312, ENSG00000134042","CD79B, MRO",HGNC
96,B37,"ENSG00000205929, ENSG00000111676","EPCIP, ATN1",HGNC
97,B3GN-T1,"ENSG00000170340, ENSG00000174684","B3GNT2, B4GAT1",HGNC
98,B7-H5,"ENSG00000114455, ENSG00000107738","HHLA2, VSIR",HGNC
99,B9,"ENSG00000108641, ENSG00000170906","B9D1, NDUFA3",HGNC
100,BA548K23.1,"ENSG00000243289, ENSG00000203942","AGAP13P, C10ORF62",HGNC
101,BAF190,"ENSG00000127616, ENSG00000080503","SMARCA4, SMARCA2",HGNC
102,BAP1,"ENSG00000151276, ENSG00000121481","MAGI1, RNF2",HGNC
103,BAR,"ENSG00000103429, ENSG00000169252","BFAR, ADRB2",HGNC
104,BART,"ENSG00000162399, ENSG00000102931","BSND, ARL2BP",HGNC
105,BB1,"ENSG00000135577, ENSG00000125505","NMBR, MBOAT7",HGNC
106,BB2,"ENSG00000090339, ENSG00000126010","ICAM1, GRPR",HGNC
107,BBP,"ENSG00000162604, ENSG00000168066","TM2D1, SF1",HGNC
108,BCAP,"ENSG00000136147, ENSG00000155629","PHF11, PIK3AP1",HGNC
109,BCD541,"ENSG00000172062, ENSG00000205571","SMN1, SMN2",HGNC
110,BDP,"ENSG00000179361, ENSG00000163644","ARID3B, PPM1K",HGNC
111,BEC1,"ENSG00000184113, ENSG00000135519","CLDN5, KCNH3",HGNC
112,BEDP,"ENSG00000293543, ENSG00000111701","DUSP13A, APOBEC1",HGNC
113,BETA-4,"ENSG00000258947, ENSG00000134262","TUBB3, AP4B1",HGNC
114,BETA2,"ENSG00000188229, ENSG00000162992","TUBB4B, NEUROD1",HGNC
115,BFNC,"ENSG00000101204, ENSG00000075043","CHRNA4, KCNQ2",HGNC
116,BMD,"ENSG00000198947, ENSG00000167995","DMD, BEST1",HGNC
117,BOP,"ENSG00000115593, ENSG00000128617, ENSG00000215012","SMYD1, OPN1SW, RTL10",HGNC
118,BRCC1,"ENSG00000012048, ENSG00000128915","BRCA1, ICE2",HGNC
119,BRCC2,"ENSG00000259571, ENSG00000139618","BLID, BRCA2",HGNC
120,BRX,"ENSG00000204116, ENSG00000170776","CHIC1, AKAP13",HGNC
121,BTF2,"ENSG00000163161, ENSG00000111358, ENSG00000145736, ENSG00000124508, ENSG00000110768","ERCC3, GTF2H3, GTF2H2, BTN2A2, GTF2H1",HGNC
122,BTF4,"ENSG00000125651, ENSG00000188342","GTF2F1, GTF2F2",HGNC
123,BTN1,"ENSG00000188603, ENSG00000124557","CLN3, BTN1A1",HGNC
124,BUB1A,"ENSG00000169679, ENSG00000156970","BUB1, BUB1B",HGNC
125,C1,"ENSG00000089820, ENSG00000211689, ENSG00000101132","ARHGAP4, TRGC1, PFDN4",HGNC
126,C11,"ENSG00000198610, ENSG00000161980","AKR1C4, POLR3K",HGNC
127,C17,"ENSG00000241258, ENSG00000170891","CRCP, CYTL1",HGNC
128,C1QTNF15,"ENSG00000178752, ENSG00000182447","ERFE, OTOL1",HGNC
129,C2TA,"ENSG00000179583, ENSG00000159147","CIITA, DONSON",HGNC
130,C53,"ENSG00000108465, ENSG00000168495","CDK5RAP3, POLR3D",HGNC
131,C5A,"ENSG00000197405, ENSG00000106804","C5AR1, C5",HGNC
132,C6ST,"ENSG00000122863, ENSG00000175264, ENSG00000175040","CHST3, CHST1, CHST2",HGNC
133,CA125,"ENSG00000181143, ENSG00000188554","MUC16, NBR1",HGNC
134,CAD,"ENSG00000169598, ENSG00000167080, ENSG00000102794","DFFB, B4GALNT2, ACOD1",HGNC
135,CAF-1,"ENSG00000167670, ENSG00000159259","CHAF1A, CHAF1B",HGNC
136,CAF1,"ENSG00000167670, ENSG00000159259, ENSG00000155508","CHAF1A, CHAF1B, CNOT8",HGNC
137,CAK1,"ENSG00000134058, ENSG00000102854","CDK7, MSLN",HGNC
138,CAL,"ENSG00000047932, ENSG00000162458","GOPC, FBLIM1",HGNC
139,CALM,"ENSG00000065609, ENSG00000073921","SNAP91, PICALM",HGNC
140,CAMKIINALPHA,"ENSG00000070808, ENSG00000162545","CAMK2A, CAMK2N1",HGNC
141,CANP,"ENSG00000189057, ENSG00000126247, ENSG00000014216","FAM111B, CAPNS1, CAPN1",HGNC
142,CAP,"ENSG00000141867, ENSG00000113441, ENSG00000131236, ENSG00000095637, ENSG00000124570, ENSG00000165996","BRD4, LNPEP, CAP1, SORBS1, SERPINB6, HACD1",HGNC
143,CAP2,"ENSG00000137648, ENSG00000166401","TMPRSS4, SERPINB8",HGNC
144,CAP3,"ENSG00000170542, ENSG00000149418","SERPINB9, ST14",HGNC
145,CAPS1,"ENSG00000105519, ENSG00000163618","CAPS, CADPS",HGNC
146,CAR,"ENSG00000197912, ENSG00000143257, ENSG00000214319, ENSG00000154639","SPG7, NR1I3, CXADRP1, CXADR",HGNC
147,CAR1,"ENSG00000133742, ENSG00000143257","CA1, NR1I3",HGNC
148,CAR2,"ENSG00000104267, nan","CA2, NR1I4",HGNC
149,CARD2,"ENSG00000170421, ENSG00000140939","KRT8, NOL3",HGNC
150,CARDINAL,"ENSG00000179136, ENSG00000105483","LINC00670, CARD8",HGNC
151,CARF,"ENSG00000240849, ENSG00000168564","PEDS1, CDKN2AIP",HGNC
152,CARMEN,"ENSG00000142867, ENSG00000249669","BCL10, CARMN",HGNC
153,CARP,"ENSG00000148481, ENSG00000148677, ENSG00000178538","MINDY3, ANKRD1, CA8",HGNC
154,CARP2,"ENSG00000092871, ENSG00000063180","RFFL, CA11",HGNC
155,CAS,"ENSG00000124207, ENSG00000050820","CSE1L, BCAR1",HGNC
156,CAS1,"ENSG00000127995, ENSG00000250107","CASD1, CACNA1G-AS1",HGNC
157,CASP,"ENSG00000115165, ENSG00000257923, ENSG00000170275","CYTIP, CUX1, CRTAP",HGNC
158,CAST,"ENSG00000187672, ENSG00000117877","ERC2, POLR1G",HGNC
159,CAT1,"ENSG00000095321, ENSG00000165125","CRAT, TRPV6",HGNC
160,CATCH22,"nan, ENSG00000184058","DGCR, TBX1",HGNC
161,CAV,"ENSG00000174990, ENSG00000105971","CA5A, CAV2",HGNC
162,CBL-3,"ENSG00000270123, ENSG00000142273","VTRNA2-1, CBLC",HGNC
163,CBP,"ENSG00000005339, ENSG00000076641","CREBBP, PAG1",HGNC
164,CCP1,"ENSG00000135049, ENSG00000136710","AGTPBP1, CCDC115",HGNC
165,CD,"ENSG00000167207, ENSG00000163599, nan","NOD2, CTLA4, CELIAC2",HGNC
166,CD158K,"ENSG00000240403, nan","KIR3DL2, KIR2DL2",HGNC
167,CD16,"ENSG00000203747, ENSG00000162747","FCGR3A, FCGR3B",HGNC
168,CD25,"ENSG00000134460, ENSG00000172183","IL2RA, ISG20",HGNC
169,CD32,"ENSG00000143226, ENSG00000072694","FCGR2A, FCGR2B",HGNC
170,CD85,"ENSG00000104972, ENSG00000187116","LILRB1, LILRA5",HGNC
171,CD98,"ENSG00000168003, ENSG00000103257","SLC3A2, SLC7A5",HGNC
172,CDC14B2,"ENSG00000218305, ENSG00000081377","CDC14C, CDC14B",HGNC
173,CDH7,"ENSG00000101542, ENSG00000071991","CDH20, CDH19",HGNC
174,CDK11-P110,"ENSG00000248333, ENSG00000008128","CDK11B, CDK11A",HGNC
175,CDK11-P46,"ENSG00000008128, ENSG00000248333","CDK11A, CDK11B",HGNC
176,CDK11-P58,"ENSG00000248333, ENSG00000008128","CDK11B, CDK11A",HGNC
177,CDK4I,"ENSG00000147883, ENSG00000147889","CDKN2B, CDKN2A",HGNC
178,CDM,"ENSG00000185825, ENSG00000122786","BCAP31, CALD1",HGNC
179,CDR,"ENSG00000079102, ENSG00000198610","RUNX1T1, AKR1C4",HGNC
180,CEA,"ENSG00000007306, ENSG00000242221","CEACAM7, PSG2",HGNC
181,CED-12,"ENSG00000062598, ENSG00000102890, ENSG00000155849","ELMO2, ELMO3, ELMO1",HGNC
182,CED12,"ENSG00000102890, ENSG00000155849, ENSG00000062598","ELMO3, ELMO1, ELMO2",HGNC
183,CELIAC1,"ENSG00000179344, ENSG00000196735","HLA-DQB1, HLA-DQA1",HGNC
184,CFP1,"ENSG00000154832, ENSG00000108100","CXXC1, CCNY",HGNC
185,CG1,"ENSG00000126777, ENSG00000136243, ENSG00000013619","KTN1, NUP42, MAMLD1",HGNC
186,CGI-141,"ENSG00000174567, ENSG00000111711","GOLT1A, GOLT1B",HGNC
187,CGRP,"ENSG00000110680, ENSG00000163221","CALCA, S100A12",HGNC
188,CHAMP,"ENSG00000198824, ENSG00000073146","CHAMP1, MOV10L1",HGNC
189,CHD5,"ENSG00000182093, ENSG00000124177","GET1, CHD6",HGNC
190,CHED,"ENSG00000065883, ENSG00000125850","CDK13, OVOL2",HGNC
191,CHIF,"ENSG00000006634, ENSG00000150201","DBF4, FXYD4",HGNC
192,CHP,"ENSG00000187446, ENSG00000104140","CHP1, RHOV",HGNC
193,CIA,"ENSG00000111875, ENSG00000124160","ASF1A, NCOA5",HGNC
194,CIB,"ENSG00000185043, ENSG00000114779","CIB1, ABHD14B",HGNC
195,CINAP,"ENSG00000184205, ENSG00000085231","TSPYL2, AK6",HGNC
196,CIP1,"ENSG00000146828, ENSG00000124762","SLC12A9, CDKN1A",HGNC
197,CIR,"ENSG00000220548, ENSG00000138433, ENSG00000120457","VIM2P, CIR1, KCNJ5",HGNC
198,CKB1,"ENSG00000276409, ENSG00000204435","CCL14, CSNK2B",HGNC
199,CKR-1,"ENSG00000163823, ENSG00000163464","CCR1, CXCR1",HGNC
200,CL-11,"ENSG00000118004, ENSG00000167633","COLEC11, KIR3DL1",HGNC
201,CL-6,"ENSG00000243772, ENSG00000186480","KIR2DL3, INSIG1",HGNC
202,CL2,"ENSG00000091986, nan","CCDC80, ERVW-5",HGNC
203,CLA20,"ENSG00000070718, ENSG00000100478","AP3M2, AP4S1",HGNC
204,CLAMP,"ENSG00000101222, ENSG00000174827","SPEF1, PDZK1",HGNC
205,CLAN,"ENSG00000091106, ENSG00000228742","NLRC4, LINC02577",HGNC
206,CLC2,"ENSG00000114859, ENSG00000006659","CLCN2, LGALS14",HGNC
207,CLF,"ENSG00000006016, ENSG00000101343","CRLF1, CRNKL1",HGNC
208,CLIP,"ENSG00000130779, ENSG00000019582, ENSG00000106665, ENSG00000115138","CLIP1, CD74, CLIP2, POMC",HGNC
209,CLMF,"ENSG00000113302, ENSG00000168811","IL12B, IL12A",HGNC
210,CLP,"ENSG00000103187, ENSG00000178363, ENSG00000129170","COTL1, CALML3, CSRP3",HGNC
211,CLU1,"ENSG00000120885, ENSG00000132361","CLU, CLUH",HGNC
212,CMG1,"ENSG00000185650, ENSG00000096872","ZFP36L1, IFT74",HGNC
213,CMPD2,"ENSG00000183873, ENSG00000118194","SCN5A, TNNT2",HGNC
214,CN1,"ENSG00000150656, ENSG00000116981","CNDP1, NT5C1A",HGNC
215,CNIL,"ENSG00000174871, ENSG00000100528","CNIH2, CNIH1",HGNC
216,CNR1,"nan, ENSG00000204967","PCDHA@, PCDHA4",HGNC
217,CO4,"ENSG00000244731, ENSG00000224389","C4A, C4B",HGNC
218,COD5,"ENSG00000102076, ENSG00000268221","OPN1LW, OPN1MW",HGNC
219,COL6A4,"ENSG00000228252, ENSG00000230524","COL6A4P2, COL6A4P1",HGNC
220,COM1,"ENSG00000176046, ENSG00000101773","NUPR1, RBBP8",HGNC
221,COMT2,"ENSG00000284922, ENSG00000284844","LRTOMT, TOMT",HGNC
222,COQ8,"ENSG00000163050, ENSG00000123815","COQ8A, COQ8B",HGNC
223,COX1,"ENSG00000095303, ENSG00000198804","PTGS1, MT-CO1",HGNC
224,COX2,"ENSG00000073756, ENSG00000198712","PTGS2, MT-CO2",HGNC
225,CP27,"ENSG00000153774, ENSG00000135929","CFDP1, CYP27A1",HGNC
226,CPI17-LIKE,"ENSG00000166143, ENSG00000198729","PPP1R14D, PPP1R14C",HGNC
227,CPN1,"ENSG00000214078, ENSG00000160882","CPNE1, CYP11B1",HGNC
228,CPN2,"ENSG00000140848, ENSG00000179142","CPNE2, CYP11B2",HGNC
229,CPS1,"ENSG00000231852, ENSG00000162877","CYP21A2, PM20D1",HGNC
230,CPX,"ENSG00000080819, ENSG00000147155","CPOX, EBP",HGNC
231,CR,"ENSG00000186197, ENSG00000196352, ENSG00000241186","EDARADD, CD55, CRIPTO",HGNC
232,CRA,"ENSG00000014914, ENSG00000108848","MTMR11, LUC7L3",HGNC
233,CRABP-I,"ENSG00000166426, ENSG00000114115","CRABP1, RBP1",HGNC
234,CRABP-II,"ENSG00000143320, ENSG00000114113","CRABP2, RBP2",HGNC
235,CRF,"ENSG00000147571, ENSG00000131094","CRH, C1QL1",HGNC
236,CRN,"ENSG00000101343, ENSG00000145244","CRNKL1, CORIN",HGNC
237,CRP2,"ENSG00000175183, ENSG00000172216, ENSG00000182809","CSRP2, CEBPB, CRIP2",HGNC
238,CRT,"ENSG00000130821, ENSG00000179218","SLC6A8, CALR",HGNC
239,CRT2,"ENSG00000269058, ENSG00000152779","CALR3, SLC16A12",HGNC
240,CS-1,"ENSG00000138434, ENSG00000172399","ITPRID2, MYOZ2",HGNC
241,CS-2,"ENSG00000213218, ENSG00000177791","CSH2, MYOZ1",HGNC
242,CSA,"ENSG00000049167, ENSG00000136488","ERCC8, CSH1",HGNC
243,CSB,"ENSG00000225830, ENSG00000213218","ERCC6, CSH2",HGNC
244,CSL,"ENSG00000091482, ENSG00000204414","SMPX, CSHL1",HGNC
245,CSRP,"ENSG00000159176, ENSG00000180182","CSRP1, MED14",HGNC
246,CST,"ENSG00000128242, ENSG00000226344, ENSG00000130940","GAL3ST1, CST12P, CASZ1",HGNC
247,CT1,"ENSG00000130821, ENSG00000150281","SLC6A8, CTF1",HGNC
248,CT58,"ENSG00000064205, ENSG00000160505","CCN5, NLRP4",HGNC
249,CT78,"ENSG00000228927, ENSG00000258992","TSPY3, TSPY1",HGNC
250,CT90,"ENSG00000138182, ENSG00000124383","KIF20B, MPHOSPH10",HGNC
251,CTR1,"ENSG00000154781, ENSG00000136868","CCDC174, SLC31A1",HGNC
252,CV2,"ENSG00000164619, ENSG00000157851","BMPER, DPYSL5",HGNC
253,CX30.2,"ENSG00000183153, ENSG00000176402","GJD3, GJC3",HGNC
254,CYP2A,"ENSG00000198077, ENSG00000255974, ENSG00000197838","CYP2A7, CYP2A6, CYP2A13",HGNC
255,CYPD,"ENSG00000108179, ENSG00000171497","PPIF, PPID",HGNC
256,CYPL1,"ENSG00000001630, ENSG00000137168","CYP51A1, PPIL1",HGNC
257,D-X,"nan, nan, ENSG00000260128, ENSG00000261279, ENSG00000178081","FAM7A5, FAM7A4, ULK4P2, ULK4P1, ULK4P3",HGNC
258,DA1,"ENSG00000198467, ENSG00000232543","TPM2, IGHD4-11",HGNC
259,DA2B,"ENSG00000130595, ENSG00000130598","TNNT3, TNNI2",HGNC
260,DAGK6,"ENSG00000149091, ENSG00000153933","DGKZ, DGKE",HGNC
261,DAN,"ENSG00000140694, ENSG00000158747","PARN, NBL1",HGNC
262,DAP,"ENSG00000123992, ENSG00000121351","DNPEP, IAPP",HGNC
263,DAP4,"ENSG00000080845, ENSG00000137492","DLGAP4, THAP12",HGNC
264,DBP,"ENSG00000133835, ENSG00000145321","HSD17B4, GC",HGNC
265,DBS,"ENSG00000126217, ENSG00000081479","MCF2L, LRP2",HGNC
266,DC7,"ENSG00000106384, ENSG00000111237","MOGAT3, VPS29",HGNC
267,DCR2,"ENSG00000112486, ENSG00000173530","CCR6, TNFRSF10D",HGNC
268,DD3,"ENSG00000225937, ENSG00000117448","PCA3, AKR1A1",HGNC
269,DEFB-11,"nan, ENSG00000203970","DEFB111, DEFB110",HGNC
270,DELTA,"ENSG00000100811, ENSG00000142507","YY1, PSMB6",HGNC
271,DGK,"ENSG00000114956, ENSG00000153933, ENSG00000136267","DGUOK, DGKE, DGKB",HGNC
272,DIA,"ENSG00000147202, ENSG00000128342","DIAPH2, LIF",HGNC
273,DIP,"ENSG00000157514, ENSG00000075240","TSC22D3, GRAMD4",HGNC
274,DIP1,"ENSG00000213672, ENSG00000166946","NCKIPSD, CCNDBP1",HGNC
275,DIP2,"ENSG00000160305, ENSG00000065183","DIP2A, WDR3",HGNC
276,DIVA,"ENSG00000137875, ENSG00000230524","BCL2L10, COL6A4P1",HGNC
277,DJ760C5.1,"ENSG00000001626, ENSG00000228593","CFTR, CFTRP1",HGNC
278,DK1,"ENSG00000175283, ENSG00000211921","DOLK, IGHD5-12",HGNC
279,DKFZP434B204,"ENSG00000204849, ENSG00000275969","SPATA31A1, SPATA31A3",HGNC
280,DKFZP547P234,"ENSG00000136888, ENSG00000157693","ATP6V1G1, TMEM268",HGNC
281,DLC1,"ENSG00000008226, ENSG00000088986","DLEC1, DYNLL1",HGNC
282,DLC2,"ENSG00000264364, ENSG00000133121","DYNLL2, STARD13",HGNC
283,DMC,"ENSG00000141627, ENSG00000189377","DYM, CXCL17",HGNC
284,DMT1,"ENSG00000137090, ENSG00000110911","DMRT1, SLC11A2",HGNC
285,DNAJ,"ENSG00000069345, ENSG00000135392","DNAJA2, DNAJC14",HGNC
286,DOC-1,"ENSG00000111328, ENSG00000168386","CDK2AP1, FILIP1L",HGNC
287,DOC1,"ENSG00000164162, ENSG00000111328","ANAPC10, CDK2AP1",HGNC
288,DP1,"ENSG00000129625, ENSG00000198176, ENSG00000168229","REEP5, TFDP1, PTGDR",HGNC
289,DP2,"ENSG00000134982, ENSG00000183134","APC, PTGDR2",HGNC
290,DP3,"ENSG00000173801, ENSG00000134982","JUP, APC",HGNC
291,DPK,"ENSG00000135090, ENSG00000135750","TAOK3, KCNK1",HGNC
292,DPPIV,"ENSG00000078098, ENSG00000197635","FAP, DPP4",HGNC
293,DRP,"ENSG00000152818, ENSG00000139726","UTRN, DENR",HGNC
294,DRP-1,"ENSG00000035664, ENSG00000072832","DAPK2, CRMP1",HGNC
295,DRP1,"ENSG00000139726, ENSG00000152818, ENSG00000087470","DENR, UTRN, DNM1L",HGNC
296,DRS1,"ENSG00000198721, ENSG00000124228","ECI2, DDX27",HGNC
297,DSK2,"ENSG00000188021, ENSG00000135018","UBQLN2, UBQLN1",HGNC
298,DUP,"ENSG00000167513, ENSG00000113318","CDT1, MSH3",HGNC
299,DXS648E,"ENSG00000147403, ENSG00000207165","RPL10, SNORA70",HGNC
300,E1,"ENSG00000114200, ENSG00000145293, ENSG00000274266","BCHE, ENOPH1, SNORA73A",HGNC
