HGNC ID	Alias symbol	NCBI gene ID	Ensembl gene ID	Approved symbol
HGNC:16643	KIAA1601	7871	ENSG00000163681	SLMAP
HGNC:11089	MGC12301	6588	ENSG00000170290	SLN
HGNC:11089	MGC125854	6588	ENSG00000170290	SLN
HGNC:11089	MGC125855	6588	ENSG00000170290	SLN
HGNC:11092	HUSI-I	6590	ENSG00000124107	SLPI
HGNC:11092	ALK1	6590	ENSG00000124107	SLPI
HGNC:11092	ALP	6590	ENSG00000124107	SLPI
HGNC:11092	BLPI	6590	ENSG00000124107	SLPI
HGNC:11092	HUSI	6590	ENSG00000124107	SLPI
HGNC:11092	WAP4	6590	ENSG00000124107	SLPI
HGNC:11092	WFDC4	6590	ENSG00000124107	SLPI
HGNC:20709	Met	79811	ENSG00000137776	SLTM
HGNC:20709	FLJ13213	79811	ENSG00000137776	SLTM
HGNC:16939	9G8	10569	ENSG00000164609	SLU7
HGNC:18746	ARS	57152	ENSG00000126233	SLURP1
HGNC:18746	ANUP	57152	ENSG00000126233	SLURP1
HGNC:18746	MDM	57152	ENSG00000126233	SLURP1
HGNC:18746	ArsB	57152	ENSG00000126233	SLURP1
HGNC:18746	LY6LS	57152	ENSG00000126233	SLURP1
HGNC:18746	LY6-MT	57152	ENSG00000126233	SLURP1
HGNC:25549		432355	ENSG00000283992	SLURP2
HGNC:20922		548593	ENSG00000132207	SLX1A
HGNC:44437		100526830	ENSG00000213599	SLX1A-SULT1A3
HGNC:28748	MGC5178	79008	ENSG00000181625	SLX1B
HGNC:48353		100526831	ENSG00000260280	SLX1B-SULT1A4
HGNC:23845	KIAA1784	84464	ENSG00000188827	SLX4
HGNC:23845	KIAA1987	84464	ENSG00000188827	SLX4
HGNC:23845	FANCP	84464	ENSG00000188827	SLX4
HGNC:16225	dJ1099D15.3	128710	ENSG00000149346	SLX4IP
HGNC:15811	PRED56	85395	ENSG00000160256	SLX9
HGNC:11095				SMA#
HGNC:6767	MADR1	4086	ENSG00000170365	SMAD1
HGNC:6767	JV4-1	4086	ENSG00000170365	SMAD1
HGNC:49379	ENST00000513542	104326058	ENSG00000250902	SMAD1-AS1
HGNC:49381		101927659	ENSG00000250582	SMAD1-AS2
HGNC:6768	MADR2	4087	ENSG00000175387	SMAD2
HGNC:6768	JV18-1	4087	ENSG00000175387	SMAD2
HGNC:6769	JV15-2	4088	ENSG00000166949	SMAD3
